,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Forschend,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,107,61,0,1
1,lernen,0.0,0,0,6,0,0,0,0,0,0,0,0,10,3,61,0,1
2,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,3,61,0,1
3,lernend,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,61,0,1
4,forschen,0.0,0,0,8,0,0,0,0,0,0,0,0,10,3,61,0,1
5,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,22,85,0,1
6,"Empiri.Praktikum,",0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,10,3,85,0,1
7,das,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,85,0,1
8,personliche,0.0,0,0,11,0,0,0,0,0,0,0,0,10,3,85,0,1
9,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,85,0,1
10,herausfordert,0.0,0,0,13,0,0,0,0,0,0,0,0,10,3,85,0,1
11,Felix,0.2,1,0,5,0,0,0,0,0,0,0,0,8,184,108,0,0
12,Winter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,108,0,0
13,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,22,157,0,0
14,Erinnerungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,157,0,0
15,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,157,0,0
16,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,157,0,0
17,Empirischen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,157,0,0
18,Prak­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,157,0,0
19,"tika,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,22,20,0,0
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
21,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
22,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
23,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
24,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
25,absolviert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
26,habe,0.0,0,0,4,0,0,0,0,0,0,0,0,8,22,21,0,0
27,(und,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
28,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
29,liegt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
30,freilich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,6,21,0,0
31,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,7,21,0,0
