,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,154,202,0,1
1,Zeitkonstruktionen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,154,34,0,1
2,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,279,0,1
3,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,16,4,279,0,1
4,meines,0.0,0,0,6,0,0,0,0,0,0,0,0,16,4,279,0,1
5,Lebens,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,279,0,1
6,Jens,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,305,0,0
7,Brockmeier,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,305,0,0
8,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,352,0,1
9,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,376,0,0
10,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,376,0,0
11,Aufsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,376,0,0
12,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,376,0,0
13,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,376,0,0
14,Verständnis,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,376,0,0
15,menschlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,376,0,0
16,Lebenszeit,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,376,0,0
17,"vorgestellt,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,376,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,376,0,0
19,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
20,unsere,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
21,Begriffe,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
22,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
23,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
24,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
25,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
26,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
27,komplexe,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
