,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Geschichtsbewusstsein,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,16,139,195,0,1
1,als,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,195,0,1
2,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,16,139,34,0,1
3,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
4,Carlos,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,239,0,0
5,Kölbl,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,239,0,0
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,239,0,0
7,Jürgen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,239,0,0
8,Straub,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,239,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,287,0,1
10,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,310,0,0
11,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,310,0,0
12,"gezeigt,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,310,0,0
13,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,310,0,0
14,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,310,0,0
15,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,310,0,0
16,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,310,0,0
17,Geschichtsbewusstsein,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,3,310,0,0
18,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,310,0,0
19,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,310,0,0
20,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,310,0,0
21,Kern,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,310,0,0
22,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,139,20,0,0
23,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
24,handelt.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
25,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
26,gilt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
27,"es,",0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
28,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
29,bereits,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
31,Polyvalenz,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
32,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
33,„Geschichte“,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
34,bewusst,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
35,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
36,sein.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
38,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
39,sowohl,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
40,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
41,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
42,symbolisch,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
43,erzeugtes,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
44,Konstrukt,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
45,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
46,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
47,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
48,praktische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
49,Vollzugsform,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
50,menschlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
51,Existenz,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
52,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
53,verstehen.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
54,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
55,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
56,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
57,Geschichtsbewusstseins,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,2,20,0,0
58,darf,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
59,also,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
60,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
61,allein,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
62,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
63,historische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
64,Zeit-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
65,konstruktionen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,139,20,0,0
66,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
67,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
68,engen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
69,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
70,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
71,Wortes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
72,abstellen.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
73,Bei,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
75,näheren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
76,begriff-,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
77,lichen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
78,Auffächerung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
79,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
80,Geschichtsbewusstseins,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,2,20,0,0
81,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
82,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
83,Hinsicht,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
84,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
85,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
86,Bewusstsein,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
87,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
88,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
89,höchst,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
90,voraussetzungsvolle,0.0,0,0,19,0,0,0,0,0,0,0,0,9,3,20,0,0
91,personale,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
92,Kompetenz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
93,ex-,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
94,pliziert,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
95,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
96,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
97,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
98,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
99,kommunikativen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
100,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
101,diskursiven,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
102,soziokulturellen,0.0,0,0,16,0,0,0,0,0,0,0,0,9,3,20,0,0
103,Zu-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
104,sammenhängen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
105,empraktisch,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
106,entwickelt.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
107,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
108,muss,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
109,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
110,historische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
111,Bewusstsein,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
112,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
113,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
114,Mindestmaß,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
115,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
116,historischem,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
117,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
118,"operieren,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
119,weshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
120,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
121,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
122,historischer,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
123,Sinnbildung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
124,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
125,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
126,weiterer,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
127,Baustein,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
128,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
129,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
130,Aufschlüsselung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
131,bereichs-,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
132,spezifischen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
133,Wissenserwerbs,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
134,aufgefasst,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
135,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
136,darf.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
137,Da,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
138,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
139,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
140,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
141,Geschichtsbe-,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
142,wusstsein,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
143,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
144,Wesentlichen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
145,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
