,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,195,0,1
1,Regime,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,195,0,1
2,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,195,0,1
3,engen,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,195,0,1
4,Blickes.,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,195,0,1
5,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
6,Dekonstruktion,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,4,34,0,1
7,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Begriffs,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
10,Zukunftsperspektive,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,257,0,0
12,Kraus,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,257,0,0
13,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,305,0,1
14,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,328,0,0
15,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,328,0,0
16,versteht,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,328,0,0
17,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,328,0,0
18,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,328,0,0
19,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,328,0,0
20,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,328,0,0
21,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,328,0,0
22,Überprüfung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,328,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,328,0,0
24,identitätstheoreti-,0.0,0,0,19,0,0,0,0,0,0,0,0,9,2,328,0,0
25,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
26,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
27,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
29,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,eingelagerte,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Bestände,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
32,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
33,rationalen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Moderne.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
35,Er,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
36,tut,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,"dies,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
38,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
39,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Identitätsforschung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,2,20,0,0
41,her,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
42,"kommend,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
43,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
44,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
45,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
46,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
47,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
48,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
49,subjekti-,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
50,ven,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
51,Konstruktion,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
52,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
53,Zukunft.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
54,Implizite,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
55,Voraussetzung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
