,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Person,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,154,204,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,204,0,1
2,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,204,0,1
3,„Diese,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,16,139,255,0,1
4,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,16,3,255,0,1
5,bedarf,0.0,0,0,6,0,0,0,0,0,0,0,0,16,3,255,0,1
6,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,16,3,255,0,1
7,Aufmerksamkeit.“,0.0625,1,0,16,0,0,0,0,0,0,0,0,16,3,255,0,1
8,Ian,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,14,139,283,0,1
9,Parker,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,14,3,283,0,1
10,im,0.0,0,0,2,0,0,0,0,0,0,0,0,14,3,283,0,1
11,Gespräch,0.125,1,0,8,0,0,0,0,0,0,0,0,14,3,283,0,1
12,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,283,0,1
13,Dimitris,0.125,1,0,8,0,0,0,0,0,0,0,0,14,3,283,0,1
14,Papadopoulos,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,14,3,283,0,1
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,139,29,0,1
16,Ernst,0.2,1,0,5,0,0,0,0,0,0,0,0,14,3,29,0,1
17,Schraube,0.125,1,0,8,0,0,0,0,0,0,0,0,14,3,29,0,1
18,Ian,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,139,346,0,0
19,Parker,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,346,0,0
20,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,346,0,0
21,Professor,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,346,0,0
22,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,346,0,0
23,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,346,0,0
24,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,346,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,346,0,0
26,Discourse,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,346,0,0
27,Unit,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,346,0,0
28,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,346,0,0
29,Metropolitan,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,346,0,0
30,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
31,Manchester.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
32,Er,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
33,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
34,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
35,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
36,Hauptvertreter,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
37,kritischer,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
38,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
39,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
40,England.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
41,Zu,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
42,seinen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
43,wichtigsten,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
