,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Erinnerung,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,195,0,1
1,an,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,195,0,1
2,Lernen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,195,0,1
3,Frigga,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,221,0,0
4,Haug,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,221,0,0
5,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,269,0,1
6,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,292,0,0
7,Methoden,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,292,0,0
8,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,292,0,0
9,Subjektivitätsforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,4,292,0,0
10,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,292,0,0
11,Lerntagebücher,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,4,292,0,0
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,292,0,0
13,Er-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,292,0,0
14,innerungsarbeit,0.0,0,0,15,0,0,0,0,0,0,0,0,9,139,20,0,0
15,vorgestellt.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
16,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
17,dienen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
18,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
19,Brennpunkte,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
21,kritischen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
22,Auseinander-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
23,setzung,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
24,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
25,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
26,Holzkamps,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
27,Grundlagenwerk,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
28,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
29,Lernen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
30,(1993).,0.0,0,0,7,4,0,0,0,0,0,0,0,9,3,20,0,0
31,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
32,Zentrum,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
33,stehen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
34,Erfahrungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
35,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
36,schulischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
37,"Lernen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
38,insbesondere,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
39,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Lehrerfrage,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
41,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
42,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
44,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,Begriffs,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
46,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Lernen.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
48,Anders,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
49,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Holzkamp,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
52,"argumentiert,",0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
53,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
54,Lernen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
55,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
56,eingegrenzt,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
57,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
58,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
59,intentionale,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
60,"Handlung,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
61,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
62,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
63,kontinuierlicher,0.0,0,0,16,0,0,0,0,0,0,0,0,9,1,20,0,0
64,Prozess,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
65,"untersucht,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
66,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
67,Mitglied,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
68,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
69,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
70,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
71,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
72,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
73,schließt,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
74,Prozesse,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
