,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Über,0.25,1,0,4,0,0,0,0,0,0,0,0,16,139,195,0,1
1,die,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,195,0,1
2,semantische,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,195,0,1
3,Blindheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,195,0,1
4,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,195,0,1
5,neurowissenschaftlichen,0.0,0,0,23,0,0,0,0,0,0,0,0,16,139,34,0,1
6,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Oder:,0.2,1,0,5,0,0,1,0,0,0,0,0,14,139,253,0,1
8,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,14,3,253,0,1
9,hätte,0.0,0,0,5,0,0,0,0,0,0,0,0,14,3,253,0,1
10,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,253,0,1
11,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,14,3,253,0,1
12,so,0.0,0,0,2,0,0,0,0,0,0,0,0,14,3,253,0,1
13,gewendete,0.0,0,0,9,0,0,0,0,0,0,0,0,14,3,253,0,1
14,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,14,3,253,0,1
15,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,14,139,29,0,1
16,„Dialog,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,14,3,29,0,1
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,29,0,1
18,Kulturen“,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,14,3,29,0,1
19,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,14,3,29,0,1
20,sagen?,0.0,0,0,6,0,0,0,0,0,0,0,0,14,3,29,0,1
21,Uwe,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,139,295,0,0
22,Laucken,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,295,0,0
23,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,343,0,1
24,An,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,366,0,0
25,vielen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,366,0,0
26,Universitäten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,366,0,0
27,Deutschlands,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,366,0,0
28,breitet,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,366,0,0
29,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,366,0,0
30,innerhalb,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,366,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,366,0,0
32,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,366,0,0
33,derzeit,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
34,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
35,„stark,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
36,neurowissenschaftliches,0.0,0,0,23,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Paradigma“,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
38,(Lüer,0.2,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
39,"1987,",0.0,0,0,5,4,0,0,0,0,0,0,1,9,2,20,0,0
40,530),0.0,0,0,4,3,0,0,0,0,0,0,0,9,2,20,0,0
41,"aus,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
42,meist,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
43,zulasten,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
44,semantisch,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
45,fundierter,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
46,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
47,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
48,Lehre.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
49,An,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
50,manchen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
51,Universitäten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
52,droht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
53,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
54,bereits,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
55,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
56,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
57,gegenständlichen,0.0,0,0,16,0,0,0,0,0,0,0,0,9,1,20,0,0
58,Verengung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
59,innerhalb,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
60,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
61,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
62,Ausbildung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
63,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
64,kommen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
65,Gegen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
66,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
67,Tendenz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
