,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Kritische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,195,0,1
1,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,195,0,1
2,als,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,195,0,1
3,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,195,0,1
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
5,Ent-Unterwerfung,0.125,1,0,16,0,0,0,0,0,0,0,0,16,4,34,0,1
6,Ute,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,139,239,0,0
7,Osterkamp,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,239,0,0
8,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,287,0,1
9,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,153,310,0,0
10,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,310,0,0
11,Subjektstandpunkt,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,310,0,0
12,zielt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,310,0,0
13,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,310,0,0
14,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,310,0,0
15,Einflussnahme,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,310,0,0
16,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,310,0,0
17,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,310,0,0
18,Ver-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,310,0,0
19,halten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
20,anderer,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
21,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
22,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
23,Gewinnung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
24,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
25,hierfür,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
26,erforderlichen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
27,Wissens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
28,ab;,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
29,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
30,geht,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
31,vielmehr,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
32,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
35,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
36,"Demoralisierungsstrategien,",0.037037037037037035,1,0,27,0,0,0,0,0,0,0,0,9,2,20,0,0
37,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
38,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
39,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
41,dazu,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
42,gebracht,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
43,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
44,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
45,Behinderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
46,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
47,Entwicklungs-,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
49,Handlungs-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
50,möglichkeiten,0.0,0,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
51,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
52,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
53,"leugnen,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
54,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
55,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
56,persönlich,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
57,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
58,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
59,verantwortlich,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
60,gemacht,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
61,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
62,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
63,Hierbei,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
64,kommt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
65,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
66,individualistisch,0.0,0,0,17,0,0,0,0,0,0,0,0,9,3,20,0,0
67,verkürzten,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
68,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
69,menschlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
70,Handlungsfähigkeit,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,139,20,0,0
71,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
72,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
73,Verdrängung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
75,gesellschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,4,20,0,0
76,Vermitteltheit,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,4,20,0,0
77,allen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
