,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,154,211,0,1
1,Lebenskunst,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,211,0,1
2,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,139,279,0,1
3,als,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,279,0,1
4,„weltliche,0.0,0,0,10,0,0,0,0,0,0,0,0,16,4,279,0,1
5,Seelsorge“,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,279,0,1
6,(Freud),0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,16,139,34,0,1
7,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,323,0,0
8,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,323,0,0
9,Buchholz,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,323,0,0
10,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,371,0,1
11,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,394,0,0
12,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,394,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,394,0,0
14,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,394,0,0
15,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,394,0,0
16,„weltliche,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,394,0,0
17,Seelsorge“,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,394,0,0
18,stammt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,394,0,0
19,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,394,0,0
20,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,394,0,0
21,Brief,0.2,1,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
22,Freuds,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
23,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
24,Pfister.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
25,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
27,abendländischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
28,Tradition,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
29,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
30,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
31,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
32,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
33,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
34,Paradoxie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
35,verstanden,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
36,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
37,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
38,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
39,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Dimensionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
41,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
42,entfaltet,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
43,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
44,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
45,Zentrum,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
46,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
48,"Forderung,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
49,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
50,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
51,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
52,individuellen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
53,Autonomie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
54,ab-,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
55,zuschaffen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
57,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
58,ersetzen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
59,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
60,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
61,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
62,Souveränität:,0.07692307692307693,1,0,13,0,0,1,0,0,0,0,0,9,2,20,0,0
63,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
64,"Fähigkeit,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
65,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
66,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
67,Abhängigkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
68,"anzuerkennen,",0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
69,statt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
70,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
71,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
72,Namen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
73,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
74,Autonomieforderung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
75,bekämp-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
76,fen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
77,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
78,müssen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
79,Verzicht,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
80,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
81,Kampf,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
82,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
83,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
84,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
85,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
86,Dimension,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
87,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
88,Psychoanaly-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
89,se,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
90,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
91,weltlicher,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
92,"Seelsorge,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
93,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
94,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
95,herausgestellt,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
96,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
97,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
98,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
99,Kreativität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
100,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
101,solidarische,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
102,"Kooperation,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
103,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
104,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
105,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
106,analytische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
107,Prozess,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
108,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
109,Modell,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
110,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
111,Praxeolo-,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
112,gie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
113,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
114,Lebenskunst,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
115,avanciert.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
116,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
117,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
118,"angeregt,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
119,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
