,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Mythen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,171,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
2,Metaphern,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,171,0,1
3,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
4,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,16,4,171,0,1
5,Tanzes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,171,0,1
6,Claudia,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,197,0,0
7,Böttger,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,197,0,0
8,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,245,0,1
9,"Tanz,",0.2,1,0,5,0,0,0,0,0,0,0,0,9,153,268,0,0
10,so,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,268,0,0
11,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,268,0,0
12,gemeinhin,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,268,0,0
13,akzeptierte,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,268,0,0
14,Haltung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,268,0,0
15,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,268,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,268,0,0
17,"Tanzwissenschaft,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,268,0,0
18,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,268,0,0
19,"etwas,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,268,0,0
