,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Psychotherapie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,139,171,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
2,Spiritualität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,171,0,1
3,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,14,139,199,0,1
4,qualitative,0.0,0,0,11,0,0,0,0,0,0,0,0,14,3,199,0,1
5,Studie,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,14,3,199,0,1
6,über,0.0,0,0,4,0,0,0,0,0,0,0,0,14,3,199,0,1
7,die,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,199,0,1
8,Integration,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,14,3,199,0,1
9,spiritueller,0.0,0,0,12,0,0,0,0,0,0,0,0,14,139,29,0,1
10,Konzepte,0.125,1,0,8,0,0,0,0,0,0,0,0,14,3,29,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,29,0,1
12,Methoden,0.125,1,0,8,0,0,0,0,0,0,0,0,14,3,29,0,1
13,in,0.0,0,0,2,0,0,0,0,0,0,0,0,14,3,29,0,1
14,die,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,29,0,1
15,psychotherapeutische,0.0,0,0,20,0,0,0,0,0,0,0,0,14,139,29,0,1
16,Arbeitsweise,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,14,3,29,0,1
17,Ulrike,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,257,0,0
18,Hundt,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,257,0,0
19,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,305,0,1
20,Anhand,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,153,328,0,0
21,biographischer,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,328,0,0
22,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,328,0,0
23,wurden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,328,0,0
24,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,328,0,0
25,Motive,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,328,0,0
26,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,328,0,0
27,Psychotherapeuten,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,328,0,0
28,"untersucht,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
29,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
30,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
31,spirituell,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
32,orientierten,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
33,Weg,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,zuzuwenden,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
36,spirituelle,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Werte,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
39,Methoden,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
40,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
41,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
42,westliches,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
43,Therapiekonzept,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
44,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
45,integrieren.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
46,Auffälligstes,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
47,Ergeb-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
48,nis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
49,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Argumentation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
52,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
53,Notwendigkeit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
54,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
55,Spiritualität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
56,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
57,Religiosität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
58,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
59,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
60,therapeutischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
61,Prozess,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
62,verbunden,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
63,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
64,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
65,großen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
66,Offenheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
67,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
68,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
69,Weltbild,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
70,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
71,Klienten.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
72,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
73,Therapeuten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
74,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
75,Befragung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
76,lehnen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
77,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
78,"ab,",0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
79,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
80,spirituelle,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
81,Per-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
82,spektive,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
83,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
84,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
85,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
86,einzubringen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
87,–,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,20,0,0
88,dennoch,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
89,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
