,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,154,201,0,1
1,Spannungsfelder,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,16,4,201,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,154,34,0,1
3,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
4,Evolutionäre,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,291,0,1
5,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,291,0,1
6,im,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,291,0,1
7,Spannungsfeld,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,291,0,1
8,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,16,139,34,0,1
9,"Wissenschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,3,34,0,1
10,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,3,34,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,3,34,0,1
12,Ethik,0.2,1,0,5,0,0,0,0,0,0,0,0,16,3,34,0,1
13,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,335,0,0
14,Rindermann,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,335,0,0
15,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,374,0,1
16,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,398,0,0
17,verschiedenen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,398,0,0
18,evolutionären,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,398,0,0
19,Ansätzen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,398,0,0
20,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,398,0,0
21,"versucht,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,398,0,0
22,menschliches,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,398,0,0
23,"Verhalten,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,398,0,0
24,Denken,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
25,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
26,Erleben,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
27,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
28,funktionale,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
29,Größe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
30,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
31,erklären,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
32,–,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,20,0,0
33,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
34,evolutionshistorischen,0.0,0,0,22,0,0,0,0,0,0,0,0,9,1,20,0,0
35,Bedingungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
36,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
37,Selektion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
38,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
39,adaptive,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
40,Struktur,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
41,entstanden;,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
42,überdauert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
43,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
44,jene,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
45,"Merkmale,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
46,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
47,am,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
48,besten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
49,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
50,Weitergabe,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
51,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
52,Genen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
53,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
54,gegebenen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
55,Umweltbedin-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
56,gungen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
58,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
59,erfolgreicher,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
60,Anpassung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
61,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
62,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
63,beitragen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
64,konnten.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
65,Dieses,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
66,For-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
67,schungsparadigma,0.0,0,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
68,stieß,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
69,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
70,Kritik.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
71,Auseinandersetzungen,0.05,1,0,20,0,0,0,0,0,0,0,0,9,1,20,0,0
72,sollen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
73,anhand,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
75,Untersu-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
76,chung,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
77,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
78,Lüge,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
79,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
80,Moral,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
81,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
82,Tier,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
83,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
84,Mensch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
85,"(Sommer),",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
86,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
87,ethnologischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
88,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
89,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
90,Aggressivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
91,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
92,Stammesgesellschaften,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,1,20,0,0
93,(Chagnon),0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
94,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
95,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
96,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
97,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
98,Geschlechtsbeziehungen,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,3,20,0,0
99,(Trivers/Buss),0.14285714285714285,0,0,14,0,1,0,0,0,0,0,0,9,3,20,0,0
100,exemplifiziert,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
101,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
102,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
103,Auslöser,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
104,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
105,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
106,Übersetzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
107,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
108,Gut-Schlecht-Sollensdichotomien,0.0967741935483871,1,0,31,0,0,0,0,0,0,0,0,9,2,20,0,0
109,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
110,evolutionshistori-,0.0,0,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
111,sche,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
112,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
113,funktionale,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
114,Wahr-Falsch-Erklärungsdichotomien,0.09090909090909091,1,0,33,0,0,0,0,0,0,0,0,9,3,20,0,0
115,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
116,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
117,ubiquitäre,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
118,Er-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
119,klärungsanspruch,0.0,0,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
120,herausgearbeitet.,0.0,0,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
121,"Probleme,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
122,Grenzen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
123,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
124,Chancen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
125,evolutionärer,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
126,Ansätze,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
127,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
128,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
129,binnen-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
130,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
131,metawissenschaftlicher,0.0,0,0,22,0,0,0,0,0,0,0,0,9,2,20,0,0
132,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
133,diskutiert.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
134,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,560,0,1
135,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,623,0,1
136,"Soziobiologie,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,153,584,0,0
137,"Wissenschaftssoziologie,",0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,9,2,584,0,0
138,"Anthropologie,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,584,0,0
139,"Politik,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,584,0,0
140,Wissenschafts-,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,584,0,0
141,"Medien-Beziehung,",0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,9,139,20,0,0
142,"Erbe-Umwelt,",0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
143,wissenschaftsliterarische,0.0,0,0,25,0,0,0,0,0,0,0,0,9,2,20,0,0
144,Sozialisation.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
145,Evolutionary,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,647,1,0
146,Psychology,0.1,1,0,10,0,0,0,0,0,0,0,0,10,2,647,1,0
