,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,153,200,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Einige,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,255,0,1
3,Anmerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,255,0,1
4,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
5,epistemischen,0.0,0,0,13,0,0,0,0,0,0,0,0,16,4,255,0,1
6,Struktur,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,34,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Diagnostik,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,34,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Behandlung,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,34,0,1
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,34,0,1
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
13,Humanmedizin,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
16,Psychotherapie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,4,34,0,1
17,Siegfried,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,139,317,0,0
18,Zepf,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,317,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,317,0,0
20,Sebastian,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,317,0,0
21,Hartmann,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,317,0,0
22,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,365,0,1
23,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,388,0,0
24,Autoren,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,388,0,0
25,vergleichen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,388,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,388,0,0
27,epistemische,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,388,0,0
28,Struktur,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,388,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,388,0,0
30,Basisdaten,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,388,0,0
31,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,388,0,0
32,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,388,0,0
33,Human-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,388,0,0
34,medizin,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
36,Psychotherapie.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
37,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
38,"zeigen,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
39,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
40,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
41,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
42,Psychotherapie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
43,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
44,aufgrund,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
45,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
46,Basisdaten,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
47,jener,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
48,nomologischen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
49,Überprüfung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
50,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Effizienz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
52,"entzieht,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
53,welche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
54,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
55,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
56,Beirat,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
57,„Psychotherapie“,0.0625,0,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
58,gefordert,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
59,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
60,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,458,0,1
61,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,517,0,1
62,"Diagnostik,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,153,481,0,0
63,"Psychotherapie,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,481,0,0
64,"Humanmedizin,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,481,0,0
65,"Wissenschaftstheorie,",0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,2,481,0,0
66,Evaluation.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,481,0,0
67,Some,0.25,1,0,4,0,0,0,0,0,0,0,0,10,139,541,1,0
68,Remarks,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,4,541,1,0
69,on,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,541,1,0
70,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,541,1,0
71,Epistemic,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,4,541,1,0
72,Structure,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,4,541,1,0
73,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,541,1,0
74,Diagnostics,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,4,541,1,0
75,and,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,541,1,0
76,Therapy,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,4,541,1,0
77,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,541,1,0
78,Human,0.2,1,0,5,0,0,0,0,0,0,0,0,10,139,22,1,0
79,Medicine,0.125,1,0,8,0,0,0,0,0,0,0,0,10,2,22,1,0
80,and,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,22,1,0
81,Psychotherapy,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,2,22,1,0
82,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,576,0,0
83,authors,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,576,0,0
84,compare,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,576,0,0
85,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,576,0,0
86,epistemic,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,576,0,0
87,structure,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,576,0,0
88,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,576,0,0
89,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,576,0,0
90,primary,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,576,0,0
91,data,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,576,0,0
92,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,576,0,0
93,human,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,576,0,0
94,medi-,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,576,0,0
95,cine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
