,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,„Wenn,0.2,0,0,5,0,0,0,0,0,0,0,0,16,139,171,0,1
1,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
2,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,171,0,1
3,Blumen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,171,0,1
4,hätten,0.0,0,0,6,0,0,0,0,0,0,0,0,16,4,171,0,1
5,...“,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,171,0,1
6,Empirische,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,34,0,1
7,Vignetten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,34,0,1
8,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,ästhetischen,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,34,0,1
11,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Kindern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
13,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
14,Natur,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
15,Elfriede,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,234,0,0
16,Billmann-Mahecha,0.125,1,0,16,0,0,0,0,0,0,0,0,12,3,234,0,0
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,234,0,0
18,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,234,0,0
19,Gebhard,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,234,0,0
20,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,281,0,1
21,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,305,0,0
22,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,305,0,0
23,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,305,0,0
24,behandeln,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,305,0,0
25,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,305,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,305,0,0
27,"Frage,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,305,0,0
28,welche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,305,0,0
29,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,305,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,305,0,0
31,Ästhetik,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,305,0,0
32,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,305,0,0
33,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,305,0,0
34,kindlichen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
35,Naturwahrnehmung,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
36,spielt.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Zunächst,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
38,geben,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
39,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
41,kurzen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
42,Überblick,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
43,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
44,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
45,Modell,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
47,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
48,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
49,ästhetischen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
50,Urteils,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
51,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
52,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
53,prominente,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
54,naturästhetische,0.0,0,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
55,Positionen.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
56,Beide,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
57,Zugangsweisen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
58,können,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
59,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
60,einfach,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
61,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
62,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
63,Naturwahrnehmung,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
64,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
65,Kindern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
66,übertragen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
67,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
68,weil,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
