,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,154,204,0,1
1,Kinderwelten,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,204,0,1
2,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,267,0,1
3,Einführung,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,267,0,1
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,267,0,1
5,den,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,267,0,1
6,Themenschwerpunkt,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,16,4,267,0,1
7,Elfriede,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,293,0,0
8,Billmann-Mahecha,0.125,1,0,16,0,0,0,0,0,0,0,0,12,3,293,0,0
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,293,0,0
10,Carlos,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,293,0,0
11,Kölbl,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,293,0,0
12,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,340,0,1
13,Zunächst,0.125,1,0,8,0,0,0,0,0,0,0,0,9,153,364,0,0
14,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,364,0,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,364,0,0
16,sozio-kulturelle,0.0,0,0,16,0,0,0,0,0,0,0,0,9,1,364,0,0
17,Hintergrund,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,364,0,0
18,"skizziert,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,364,0,0
19,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,364,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,364,0,0
