,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,171,0,1
1,Entdeckung,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,171,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
3,frühen,0.0,0,0,6,0,0,0,0,0,0,0,0,16,4,171,0,1
4,Jahre:,0.16666666666666666,1,0,6,0,0,1,0,0,0,0,0,16,4,171,0,1
5,Vergangenheit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,139,34,0,1
6,erinnern,0.0,0,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Gegenwart,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,34,0,1
9,erforschen1,0.0,0,0,11,1,0,0,0,0,0,0,0,17,139,34,0,0
10,Werner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,234,0,0
11,Deutsch,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,234,0,0
12,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,281,0,1
13,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,305,0,0
14,Entdeckung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,305,0,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,305,0,0
16,frühen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,305,0,0
17,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,305,0,0
18,geschieht,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,305,0,0
19,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,305,0,0
20,zwei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,305,0,0
21,Wegen:,0.16666666666666666,1,0,6,0,0,1,0,0,0,0,0,9,2,305,0,0
22,Erstens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,139,20,1,0
23,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
24,Erinnerung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
25,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
27,eigene,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
28,Kindheit.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
29,Wann,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
30,tauchen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
31,solche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
32,Erinnerungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
33,"auf,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
34,welche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
35,Funktionen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
36,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
37,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
39,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
40,welchem,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
41,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
42,stehen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
43,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
44,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,erlebten,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
46,Wirklichkeit?,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
47,Zweitens,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,1,0
48,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
49,Beobachtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Dokumentation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
52,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
53,Entwicklungsprozessen.,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,2,20,0,0
54,Wie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
55,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
57,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
58,Laufe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
60,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
61,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
62,Entwicklungspsychologie,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,1,20,0,0
63,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
64,methodische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
65,Zugang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
66,geändert?,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
67,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
68,zeichnet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
69,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
70,frühen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
71,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
72,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
73,späteren,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
74,Entwicklungsabschnitten,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,2,20,0,0
75,aus?,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
76,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,408,0,1
77,Retrospektive,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,153,431,0,0
78,"Entwicklungsdaten,",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,431,0,0
