,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,171,0,1
1,Aufbau,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,171,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
3,historischen,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,171,0,1
4,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,16,4,171,0,1
5,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
6,Kindern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Carlos,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,215,0,0
8,Kölbl,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,215,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,263,0,1
10,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,286,0,0
11,je,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,286,0,0
12,eigene,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,286,0,0
13,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,286,0,0
14,lassen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,286,0,0
15,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,286,0,0
16,Teile,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,286,0,0
17,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,286,0,0
18,Piagetschen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,286,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,286,0,0
20,Vygotskijschen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,1,286,0,0
21,Werks,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,286,0,0
22,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
23,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
24,entwicklungspsychologische,0.0,0,0,26,0,0,0,0,0,0,0,0,9,3,20,0,0
25,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
26,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
27,Aufbaus,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
28,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
29,geschichtlichen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
30,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
31,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
32,Kindern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
33,fruchtbar,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
34,machen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
35,Hierzu,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
36,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
37,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
38,zwei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
39,Arbeiten,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
40,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
41,„frühen“,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
42,"Piaget,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
43,„Das,0.25,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
44,Weltbild,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
45,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
46,Kindes“,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
47,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
48,„Das,0.25,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
49,moralische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
50,Urteil,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
51,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
52,"Kinde“,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
53,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
54,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
55,potentiellen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
56,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
57,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
58,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
59,Entwicklungspsychologie,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,1,20,0,0
60,historischer,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
61,Sinnbildung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
62,hin,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
63,befragt.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
64,Darüber,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
65,hinaus,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
66,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
67,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
68,bislang,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
69,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
70,beachtete,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
71,Studie,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
72,"Piagets,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
73,„Psychologie,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
74,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
75,Kindes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
76,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
77,"Geschichtsunterricht“,",0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,1,20,0,0
78,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
79,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
80,unmittelbar,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
