,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,153,200,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Maladies,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,255,1,1
3,de,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,255,1,1
4,l’âme,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,255,1,1
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
6,postmoderne,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,139,34,0,1
8,Psychoanalytische,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,139,299,0,1
9,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,299,0,1
10,anlässlich,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,299,0,1
11,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,299,0,1
12,Zusammenhangs,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,139,25,0,1
13,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,1
14,"Diskurs,",0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,25,0,1
15,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,25,0,1
16,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,139,25,0,1
17,zeitgenössischer,0.0,0,0,16,0,0,0,0,0,0,0,0,12,3,25,0,1
18,Psychopathologie,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,3,25,0,1
19,Niklas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,352,0,0
20,Bornhauser,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,352,0,0
21,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,400,0,1
22,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,423,0,0
23,verstärkte,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,423,0,0
24,Präsenz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,423,0,0
25,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,423,0,0
26,Reihe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,423,0,0
27,"neuer,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,423,0,0
28,bislang,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,423,0,0
29,unbekannter,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,423,0,0
30,"Krankheitsbilder,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,423,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
32,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
33,Grenzen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
35,derzeit,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
36,gültigen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
37,bisherigen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
38,Klassifikationssysteme,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,3,20,0,0
39,"aufzeigen,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
40,stellt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
41,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
42,theoretische,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
43,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
44,praktische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
45,Herausforderung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
46,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
48,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
49,dar.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
50,Versteht,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
51,man,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
52,psychische,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
53,Manifestationen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
54,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
55,Symptome,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
56,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
57,bestimmten,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
58,–,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,20,0,0
59,domi-,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
60,nanten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
61,–,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,20,0,0
62,"Diskurses,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
63,so,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
64,legt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
65,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
66,historische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
67,Herangehensweise,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
68,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
69,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
70,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
71,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
72,Psychopathologie,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
73,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
74,eingehende,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
75,Untersuchung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
76,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
77,jeweils,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
78,zugrunde,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
79,liegenden,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
80,Diskurse,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
81,nahe.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
82,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
83,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
84,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
85,Subjektbegriffs,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,4,20,0,0
86,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
87,Berücksichtigung,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,4,20,0,0
88,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
89,Debatte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
90,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
91,Moderne,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
92,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
93,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
94,"zeigt,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
95,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
