,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Medien-Fantasien:,0.11764705882352941,1,0,17,0,0,1,0,0,0,0,0,16,139,171,0,1
1,Schauplätze,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,171,0,1
2,psychischer,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,171,0,1
3,Realität,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,34,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
5,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
6,Begehrens,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Brigitte,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,215,0,0
8,Hipfl,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,215,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,263,0,1
10,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,286,0,0
11,Unterschied,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,286,0,0
12,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,286,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,286,0,0
14,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,286,0,0
15,Alltagsverständnis,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,3,286,0,0
16,üblichen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,286,0,0
17,Gegenüberstellung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,286,0,0
18,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,286,0,0
19,Realität,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
21,Fantasie,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
22,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
24,philosophischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
25,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
26,psychoanalytischen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
27,Konzeptionen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
28,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
29,Verschränkung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
30,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
31,beiden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
32,Begriffe,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
33,betont,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
34,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
35,Fantasie,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
36,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
38,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
39,mensch-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
40,liche,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
41,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
42,bestimmende,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Kraft,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
44,gesehen.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
45,Unter,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
46,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,gegenwärtigen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
48,"Bedingungen,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
49,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
50,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
