,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,154,204,0,1
1,Mediale,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,154,34,0,1
2,Konstruktionen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,4,34,0,1
3,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,291,0,1
4,Mensch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,291,0,1
5,=,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,291,0,1
6,imago,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,291,0,1
7,machinae?,0.0,0,0,9,0,0,0,0,0,0,0,0,16,4,291,0,1
8,Käte,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,317,0,0
9,Meyer-Drawe,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,12,3,317,0,0
10,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,364,0,1
11,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,153,388,0,0
12,gewinnen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,388,0,0
13,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,388,0,0
14,Verständnis,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,388,0,0
15,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,388,0,0
16,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,388,0,0
17,stets,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,388,0,0
18,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,388,0,0
19,Umwegen.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,388,0,0
20,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,388,0,0
21,un-,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,388,0,0
22,mittelbare,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
23,Selbstbegegnung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
24,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
25,ihnen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
26,versagt.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
27,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
28,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
29,Umwegen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
30,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Eben-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
32,bilder,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
33,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
34,unterschiedlicher,0.0,0,0,17,0,0,0,0,0,0,0,0,9,4,20,0,0
35,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
37,Anspruch,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
38,genommen.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
39,So,0.5,1,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
40,spiegelt,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
41,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
43,Mensch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
44,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
45,seinen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
46,"Göttern,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
47,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
48,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
49,irdischen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
50,Ohnmacht,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
51,zumindest,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
52,illusionär,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
53,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
54,entkommen.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
55,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
56,Bilder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
57,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
58,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
59,"ungefährlich,",0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
60,nehmen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
61,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
62,doch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
63,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
64,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
65,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
66,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
67,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
68,menschliche,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
69,Züge,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
70,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
71,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
72,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
73,deshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
74,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
75,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
76,"Wege,",0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
77,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
78,Dienst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
79,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
80,Idole,0.2,1,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
81,aufzugeben.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
82,Vor,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
83,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
