,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,171,0,1
1,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
2,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,171,0,1
3,virtuellen,0.0,0,0,10,0,0,0,0,0,0,0,0,16,4,171,0,1
4,Pfaden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,171,0,1
5,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,197,0,1
6,kritische,0.0,0,0,9,0,0,0,0,0,0,0,0,12,3,197,0,1
7,Reflexion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,197,0,1
8,computergestützter,0.0,0,0,18,0,0,0,0,0,0,0,0,12,3,197,0,1
9,Ich-Experimente,0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,12,3,197,0,1
10,Christina,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,139,223,0,0
11,Schachtner,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,223,0,0
12,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,271,0,1
13,Zerbrochen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,153,294,0,0
14,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,294,0,0
15,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,294,0,0
16,alten,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,294,0,0
17,"Erzählungen,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,294,0,0
18,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,294,0,0
19,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,294,0,0
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,294,0,0
21,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,294,0,0
22,Ideen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,294,0,0
23,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,294,0,0
24,Sicherheit,0.1,1,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
25,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
26,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
27,Lebensgestaltung,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
28,zogen.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
29,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Tagesordnung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
32,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Erfin-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
35,dung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
36,neuer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
37,"Erzählungen,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
38,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
39,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
41,gemeinsame,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
42,Wert-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
43,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
44,Orientierungsbasis,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
45,geschaffen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
46,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
47,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
49,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
50,Subjekten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
51,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
52,Identitätskontext,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,20,0,0
53,dienen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
54,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
55,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
56,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
57,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
58,Ort,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
59,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
60,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
61,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
62,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
63,Möglichkeitssinn:,0.058823529411764705,1,0,17,0,0,1,0,0,0,0,0,9,1,20,0,0
64,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
65,elektronischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
66,Datennetze.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
67,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
68,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
69,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
70,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
71,diskutiert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
72,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
73,inwieweit,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
74,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
75,computergestützte,0.0,0,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
76,Diskus-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
77,sionsforen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
78,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
79,Bühne,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
80,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
81,Ich-Versuche,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
82,eignen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
83,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
84,inwiefern,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
85,solche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
86,Versuche,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
87,psy-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
88,chologisch,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
89,begleitet,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
90,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
