,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Psychosoziale,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,143,200,0,1
1,Krisen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,200,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Krisenintervention,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,4,200,0,1
4,Kurze,0.2,1,0,5,0,0,0,0,0,0,0,0,16,139,267,0,1
5,Beschreibung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,267,0,1
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,267,0,1
7,Berliner,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,267,0,1
8,Krisendienstes,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,139,34,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Forschungsdesigns,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Jarg,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,311,0,0
13,Bergold,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,311,0,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,311,0,0
15,Ralf-Bruno,0.2,1,0,10,0,0,0,0,0,0,0,0,12,3,311,0,0
16,Zimmermann,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,311,0,0
17,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,359,0,1
18,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,382,0,0
19,institutionelle,0.0,0,0,15,0,0,0,0,0,0,0,0,9,3,382,0,0
20,Struktur,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,382,0,0
21,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,382,0,0
22,Berliner,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,382,0,0
23,Krisendienstes,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,382,0,0
24,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,382,0,0
25,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,382,0,0
26,kurz,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,382,0,0
27,be-,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,382,0,0
28,schrieben.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
29,Anschließend,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
30,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
32,wichtigsten,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
33,Teiluntersuchungen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
35,Evaluations-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
36,studie,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
37,gekennzeichnet.,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
38,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
39,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
40,"argumentiert,",0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
41,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
42,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
43,solche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
44,Einrichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
45,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
46,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
47,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
48,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
49,Versorgungssystems,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
50,gesehen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
51,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
52,muss,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
53,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
54,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
55,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
56,einfaches,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
57,Evalua-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
58,"tionsdesign,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
59,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
60,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
61,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
62,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
63,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
64,Institution,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
65,"beschränkt,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
66,deshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
67,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
68,möglich,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
69,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
70,Schlüsselwörter,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,463,0,1
71,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,522,0,1
72,"Krisendienst,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,153,486,0,0
73,"Evaluation,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,486,0,0
74,Versorgungssystem.,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,2,486,0,0
75,A,1.0,1,0,1,0,0,0,0,0,0,0,0,10,139,546,1,0
76,short,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,546,1,0
77,description,0.0,0,0,11,0,0,0,0,0,0,0,0,10,2,546,1,0
78,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,546,1,0
79,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,546,1,0
80,Berlin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,2,546,1,0
81,Crisis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,2,546,1,0
82,Intervention,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,2,546,1,0
83,Service,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,2,546,1,0
84,and,0.0,0,0,3,0,0,0,0,0,0,0,0,10,139,22,1,0
85,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,22,1,0
86,research,0.0,0,0,8,0,0,0,0,0,0,0,0,10,2,22,1,0
87,design,0.0,0,0,6,0,0,0,0,0,0,0,0,10,2,22,1,0
88,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,581,0,0
89,institutional,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,581,0,0
90,structure,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,581,0,0
91,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,581,0,0
