,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,„Wenn,0.2,0,0,5,0,0,0,0,0,0,0,0,16,139,207,0,1
1,es,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,207,0,1
2,jetzt,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,207,0,1
3,so,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,207,0,1
4,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,207,0,1
5,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,207,0,1
6,versuch’s,0.0,0,0,9,0,0,0,0,0,0,0,0,16,4,207,0,1
7,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
8,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,34,0,1
9,rumzudrehen.“,0.0,0,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
10,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Soziale,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,139,34,0,1
12,Kontakte,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
13,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
14,BesucherInnen,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
15,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,16,139,34,0,1
16,gemeindepsychiatrischen,0.0,0,0,23,0,0,0,0,0,0,0,0,16,4,34,0,1
17,Einrichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
18,Corinna,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,288,0,0
19,Brinkmann,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,288,0,0
20,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,335,0,1
21,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,358,0,0
22,Kontakt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,358,0,0
23,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,358,0,0
24,Psychiatrieerfahrenen,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,2,358,0,0
25,eröffnet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,358,0,0
26,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,358,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,358,0,0
28,Selbst-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,358,0,0
29,hilfe.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
30,Gemeindepsychiatrische,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Einrichtungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
32,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
33,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
34,psychosoziale,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
35,Kontakt-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Beratungsstelle,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,139,20,0,0
38,"(KBS),",0.5,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
39,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
40,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
41,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
42,geringe,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
43,Strukturierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
45,Gleichberechtigung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
