,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Eingeladener,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Kommentar,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,207,0,1
2,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,207,0,1
4,„Face-to-face-Kommunikation,0.07407407407407407,0,0,27,0,0,0,0,0,0,0,0,16,139,34,0,1
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
6,computervermittelte,0.0,0,0,19,0,0,0,0,0,0,0,0,16,139,34,0,1
7,Kommunikation:,0.07142857142857142,1,0,14,0,0,1,0,0,0,0,0,16,4,34,0,1
8,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,34,0,1
9,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Vergleichs“,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
11,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Friederike,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,34,0,1
13,Rothe,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
14,Nicola,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,288,0,0
15,Döring,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,288,0,0
16,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,335,0,1
17,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,358,0,0
18,erste,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,358,0,0
19,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,358,0,0
20,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,358,0,0
21,Kommentars,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,358,0,0
22,verweist,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,358,0,0
23,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,358,0,0
24,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,358,0,0
25,Heterogenität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,358,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,358,0,0
27,Internet-Nut-,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,2,358,0,0
28,zung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
29,weltweit.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
30,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
31,zweite,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
32,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
33,resümiert,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
34,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
35,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
36,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,sozialwissenschaftli-,0.0,0,0,21,0,0,0,0,0,0,0,0,9,2,20,0,0
38,chen,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
39,Internet-Forschung,0.1111111111111111,1,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
40,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
41,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
42,Vielfalt,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
43,theoretischer,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,methodischer,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
46,Zugänge.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
48,dritte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
49,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
50,kritisiert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
51,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
52,verzerrte,0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
53,Rekonstruktion,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,4,20,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
55,Online-Forschung,0.125,1,0,16,0,0,0,0,0,0,0,0,9,4,20,0,0
56,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
57,kommentierten,0.0,0,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
58,Beitrag.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
