,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,154,202,0,1
1,Psychiatrie-Innenansichten,0.07692307692307693,1,0,26,0,0,0,0,0,0,0,0,16,154,34,0,1
2,„Miteinander,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,16,139,291,0,1
3,statt,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,291,0,1
4,übereinander“,0.0,0,0,13,0,0,0,0,0,0,0,0,16,4,291,0,1
5,Ergebnisse,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,34,0,1
6,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Begleitstudie,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
8,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Weddinger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,34,0,1
10,Psychoseseminar,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,16,4,34,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Erfahrungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,139,34,0,1
13,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
15,Forschungspartizipation,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,16,4,34,0,1
16,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
17,Psychoseerfahrenen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,4,34,0,1
18,Anja,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,389,0,0
19,"Hermann,",0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,389,0,0
20,Frank,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,389,0,0
21,"Partenfelder,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,389,0,0
22,Sabine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,389,0,0
23,"Raabe,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,389,0,0
24,Bärbel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,389,0,0
25,Riedel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,389,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,139,25,0,0
27,Rolf,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,25,0,0
28,Ruszetzki,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,25,0,0
29,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,451,0,1
30,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,474,0,0
31,Zentrum,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,474,0,0
32,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,474,0,0
33,vorliegenden,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,474,0,0
34,Beitrags,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,474,0,0
35,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,474,0,0
36,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,474,0,0
37,Experimentieren,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,474,0,0
38,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,474,0,0
39,Möglich-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,474,0,0
40,keiten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
41,kommunikativer,0.0,0,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
42,Forschungspartizipation,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,1,20,0,0
43,[klingt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,1,0
44,richtig,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,1,0
45,"wissenschaftlich,",0.0,0,0,17,0,0,0,0,0,0,0,0,9,1,20,1,0
46,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,1,0
