,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Delegierte,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Mündigkeit,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Lebensgeschichtliche,0.05,1,0,20,0,0,0,0,0,0,0,0,14,139,235,0,1
3,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,14,3,235,0,1
4,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,14,139,29,0,1
5,rechtlich,0.0,0,0,9,0,0,0,0,0,0,0,0,14,3,29,0,1
6,betreuten,0.0,0,0,9,0,0,0,0,0,0,0,0,14,3,29,0,1
7,Psychiatriebetroffenen,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,14,3,29,0,1
8,Heiko,0.2,1,0,5,0,0,0,0,0,0,0,0,12,139,277,0,0
9,Mussehl,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,277,0,0
10,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,324,0,1
11,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,348,0,0
12,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,348,0,0
13,stellt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,348,0,0
14,narrative,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,348,0,0
15,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,348,0,0
16,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,348,0,0
17,rechtlich,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,348,0,0
18,betreuten,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,348,0,0
19,Psychiatriebetroffe-,0.05,1,0,20,0,0,0,0,0,0,0,0,9,1,348,0,0
20,nen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
21,vor.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
22,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
23,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
24,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
25,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
27,lebensgeschichtlichen,0.0,0,0,21,0,0,0,0,0,0,0,0,9,3,20,0,0
28,Gewordenheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
29,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,psy-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
31,chischem,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
32,Leiden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
33,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
34,Abhängigkeitsverhältnissen,0.038461538461538464,1,0,26,0,0,0,0,0,0,0,0,9,1,20,0,0
35,nachgegangen.,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
36,Gerade,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
38,inkohä-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
39,"renten,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
40,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
41,Brüche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
42,verweisenden,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Teile,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,biographischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
46,Erzählungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
47,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
48,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
49,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
50,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
51,genommen.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
52,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
53,Person,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
54,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
55,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
56,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
57,"Betreuerin,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
58,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
59,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
60,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
61,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
62,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
63,narrativen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
64,Interviews,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
65,"darstellen,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
66,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
67,besondere,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
68,Aufmerksamkeit,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
69,gewidmet.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
70,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
71,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
72,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
73,"Betreuungsrechts,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,4,20,0,0
