,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,16,153,200,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Face-to-face-Kommunikation,0.07692307692307693,1,0,26,0,0,0,0,0,0,0,0,16,139,267,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
5,computervermittelte,0.0,0,0,19,0,0,0,0,0,0,0,0,16,4,34,0,1
6,Kommunikation:,0.07142857142857142,1,0,14,0,0,1,0,0,0,0,0,16,4,34,0,1
7,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,34,0,1
8,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Vergleichs,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Friederike,0.1,1,0,10,0,0,0,0,0,0,0,0,12,139,329,0,0
11,Rothe,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,329,0,0
12,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,377,0,1
13,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,400,0,0
14,Aufkommen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,400,0,0
15,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,400,0,0
16,Internets,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,400,0,0
17,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,400,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,400,0,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,400,0,0
