,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,153,200,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,267,0,1
3,Seele,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,267,0,1
4,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,267,0,1
5,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,267,0,1
6,Computertomographen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,4,267,0,1
7,suchen?,0.0,0,0,7,0,0,0,0,0,0,0,0,16,139,34,0,1
8,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,311,0,0
9,Sand,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,311,0,0
10,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,359,0,1
11,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,382,0,0
12,vorliegende,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,382,0,0
13,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,382,0,0
14,nimmt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,382,0,0
15,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,382,0,0
16,„neurowissenschaftliche“,0.0,0,0,24,0,0,0,0,0,0,0,0,9,3,382,0,0
17,Hypothese,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,382,0,0
18,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,382,0,0
19,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
21,Handlungsfreiheit,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
22,ernst.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
23,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
24,"geschieht,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
25,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
26,all,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
27,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
28,Handeln,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
29,lediglich,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
30,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
31,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
32,„Neurodeterminismus“,0.05,0,0,20,0,0,0,0,0,0,0,0,9,2,20,0,0
33,ist?,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
35,könnten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
36,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Handeln,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,1,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
39,Entscheiden,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,1,0
40,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
41,bedeuten?,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
42,Soziales,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Geschehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
44,ließe,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
45,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
46,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
48,naturanalog,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
49,verstehen.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
50,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
51,bedeutet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
52,"aber,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
53,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
54,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
55,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
56,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
57,solches,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
58,unverständlich,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
59,bleibt.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
60,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
61,Reden,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
62,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
63,„de-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
64,terminiertes,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
65,Handeln“,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
66,gerät,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
67,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
68,Widersprüche.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
69,Aufzulösen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
70,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
71,"diese,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
72,indem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
73,man,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
74,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
75,„weltanschauliche,0.0,0,0,17,0,0,0,0,0,0,0,0,9,139,20,0,0
76,Lücke“,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
77,unterstellt,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
78,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
79,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
80,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
81,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
82,Fall,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
83,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
84,Fall,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
85,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
86,determiniert,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,1,0
87,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
88,frei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,1,0
89,handelnd,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,1,0
90,betrachtet.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
91,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,497,0,1
92,"Hirnforschung,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,153,520,0,0
93,"Neurowissenschaft,",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,5,520,0,0
94,"Determinismus,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,5,520,0,0
95,"Handlungsfreiheit,",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,5,520,0,0
96,Ent-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,520,0,0
