,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Entgrenzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,153,200,0,1
1,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Begrenzte,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,255,0,1
4,Entgrenzung.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,255,0,1
5,Arrangements,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,255,0,1
6,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Erwerbsarbeit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,139,34,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,3,34,0,1
9,Privatleben,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,3,34,0,1
10,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,16,3,34,0,1
11,Freelancern,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,3,34,0,1
12,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,139,34,0,1
13,den,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
14,alten,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
16,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
17,Medien,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,34,0,1
18,Annette,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,317,0,0
19,Henninger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,317,0,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,317,0,0
21,Karin,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,317,0,0
22,Gottschall,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,317,0,0
23,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,353,0,1
24,Bisher,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,153,376,0,0
25,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,376,0,0
26,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,376,0,0
27,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,376,0,0
28,wenig,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,376,0,0
