,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Umgang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,207,0,1
1,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
2,beruflichen,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Transitionen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,207,0,1
4,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,207,0,1
5,Ergebnisse,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,34,0,1
6,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
7,europäischen,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Forschungsprojektes,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,139,34,0,1
9,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,269,0,0
10,Kieselbach,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,269,0,0
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,269,0,0
12,Sabine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,269,0,0
13,Mader,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,269,0,0
14,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,305,0,1
15,Vor,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,328,0,0
16,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,328,0,0
17,Hintergrund,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,328,0,0
18,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,328,0,0
19,Ergebnissen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,328,0,0
20,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,328,0,0
21,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,328,0,0
22,internationalen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,4,328,0,0
23,Forschungs-,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,328,0,0
24,projekt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
25,„Sozialer,0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
26,Geleitschutz,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
27,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
28,nachhaltige,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
29,Beschäftigungsfähigkeit:,0.041666666666666664,1,0,24,0,0,1,0,0,0,0,0,9,2,20,0,0
30,Innovative,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Konzepte,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
32,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
33,Outplacement/Replacement-Beratung“,0.08823529411764706,1,0,34,0,1,0,0,0,0,0,0,9,1,20,0,0
34,(SOCOSE),0.75,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
35,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
36,individuelle,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
37,berufliche,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
38,Veränderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
39,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Transitionen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
41,thematisiert.,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
42,Angesichts,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
43,instabil,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
44,werden-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
