,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,ältere,0.0,0,0,6,0,0,0,0,0,0,0,0,16,3,207,0,1
2,Arbeitnehmer,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,3,207,0,1
3,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,3,207,0,1
4,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,16,3,207,0,1
5,vernachlässigtes,0.0,0,0,16,0,0,0,0,0,0,0,0,16,3,207,0,1
6,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,139,34,0,1
7,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,34,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Personalentwicklung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,14,139,253,0,1
11,demographische,0.0,0,0,14,0,0,0,0,0,0,0,0,14,3,253,0,1
12,Wandel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,14,3,253,0,1
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,253,0,1
14,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,14,3,253,0,1
15,Heraus-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,3,253,0,1
16,forderungen,0.0,0,0,11,0,0,0,0,0,0,0,0,14,139,29,0,1
17,für,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,29,0,1
18,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,14,3,29,0,1
19,zeitgemäße,0.0,0,0,10,0,0,0,0,0,0,0,0,14,3,29,0,1
20,Mitarbeiterführung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,14,3,29,0,1
21,Margarete,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,139,295,0,0
22,Laschalt,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,295,0,0
23,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,295,0,0
24,Heidi,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,295,0,0
25,Möller,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,295,0,0
26,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,331,0,1
27,Experten,0.125,1,0,8,0,0,0,0,0,0,0,0,9,153,354,0,0
28,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,354,0,0
29,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,354,0,0
30,"einig,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,354,0,0
31,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,354,0,0
32,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,354,0,0
33,Zukunft,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,354,0,0
34,gesellschaftlicher,0.0,0,0,18,0,0,0,0,0,0,0,0,9,2,354,0,0
35,Arbeitseffizienz,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,354,0,0
