,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Einführung,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,207,0,1
2,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Kontraktmanagement,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,4,207,0,1
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,139,34,0,1
5,ausgewählten,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
6,Kultureinrichtungen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,4,34,0,1
7,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
10,involvierter,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Experten,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Sabine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,269,0,0
13,"Mader,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,269,0,0
14,Just,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,269,0,0
15,Mields,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,269,0,0
16,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,269,0,0
17,Birgit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,269,0,0
18,Volmerg,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,269,0,0
19,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,305,0,1
20,Seit,0.25,1,0,4,0,0,0,0,0,0,0,0,9,153,328,0,0
21,Anfang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,328,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,328,0,0
23,neunziger,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,328,0,0
24,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,328,0,0
25,erlebt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,328,0,0
26,Deutschland,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,328,0,0
27,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,328,0,0
28,umfassende,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,328,0,0
29,Verwal-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,328,0,0
30,"tungsreform,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
32,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
33,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Namen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
35,„Neues,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
36,Steuerungsmodell“,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
37,(NSM),0.6,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
38,geführt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
39,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
41,zentralen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
42,Leitgedanken,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
43,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
44,NSM,1.0,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
46,Einheit,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
47,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
48,Fach-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,Ressourcenverant-,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
51,"wortung,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
52,Produkt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
53,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
54,Budget,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
55,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
56,Steuerungsgrößen,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,3,20,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
58,Kontraktmanagement,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,3,20,0,0
59,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
60,Bindungsinstrument,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,139,20,0,0
61,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
62,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
63,Hierarchieebenen.,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
64,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
65,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
67,Schnittstelle,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
68,zwi-,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
69,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
70,staatlich,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
71,kontrollierter,0.0,0,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
72,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
73,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
74,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
75,Neugestaltung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
76,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
77,Kontraktmanage-,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
78,ment,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
79,arbeitenden,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
80,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
81,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
82,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
83,ganzen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
84,Reihe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
85,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
86,Anforderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
87,ausge-,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
88,"setzt,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
89,was,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
90,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
91,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
92,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
93,basale,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
94,Haltungen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
95,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
96,Motivationen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
97,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
98,"überkommenen,",0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
99,teilweise,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
100,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
101,gleichwohl,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
102,geltenden,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
103,Arbeitsidentität,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
104,betrifft.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
105,Um,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
106,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
