,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Entgrenzte,0.1,1,0,10,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,3,207,0,1
2,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,16,3,207,0,1
3,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,3,207,0,1
4,Erlebnisperspektive,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,3,207,0,1
5,Erkenntnisse,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,14,139,235,0,1
6,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,235,0,1
7,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,14,3,235,0,1
8,Interpretationswerkstatt,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,14,3,235,0,1
9,Just,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,261,0,0
10,"Mields,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,261,0,0
11,Sabine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,261,0,0
12,Mader,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,261,0,0
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,261,0,0
14,Birgit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,261,0,0
15,Volmerg,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,261,0,0
16,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,297,0,1
17,Entgrenzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,153,320,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,320,0,0
19,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,320,0,0
20,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,320,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,320,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,320,0,0
23,öffentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,320,0,0
24,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,320,0,0
25,allgegenwärtig.,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,320,0,0
26,Zuneh-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,320,0,0
27,mende,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
28,Anforderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
29,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
31,Beschäftigten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
32,hinsichtlich,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
33,unternehmerischen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,1,20,0,0
34,Handelns,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
35,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
36,Verbindung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
37,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
38,abnehmender,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
39,Arbeitsplatzsicherheit,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,2,20,0,0
40,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
41,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
42,"betriebs-,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
43,volks-,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
44,wirtschaftlicher,0.0,0,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
46,politischer,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
47,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
48,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
49,regelmäßiger,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
50,Ausblendung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
51,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
52,Betroffenenperspektive,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,139,20,0,0
53,erörtert.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
54,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
55,resultiert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
56,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
57,zuletzt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
58,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
59,methodologischen,0.0,0,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
60,"Schwierigkeiten,",0.0625,1,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
61,gültige,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
62,Erkenntnisse,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
63,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
