,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Entgrenzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,139,207,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Wiederaneignung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,16,4,207,0,1
3,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
4,Zeiterlebens,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
5,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,14,139,253,0,1
6,Fallstudie,0.1,1,0,10,0,0,0,0,0,0,0,0,14,3,253,0,1
7,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,253,0,1
8,Verlust,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,3,253,0,1
9,des,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,253,0,1
10,Arbeitsplatzes,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,14,3,253,0,1
11,Christine,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,139,279,0,0
12,Morgenroth,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,279,0,0
13,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,315,0,1
14,Arbeitslosigkeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,153,338,0,0
15,zerstört,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,338,0,0
16,subjektive,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,338,0,0
17,Kompetenzerfahrung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,3,338,0,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,338,0,0
19,Zeiterleben.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,338,0,0
20,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,338,0,0
21,Fallstudie,0.1,1,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
22,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
23,Führungskraft,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
24,"zeigt,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
25,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
26,besonders,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
27,hohe,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
28,berufliche,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
29,"Beanspruchung,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
30,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
31,Logik,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
32,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
33,Simultanität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
34,"beschrieben,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
35,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
36,Verantwortungsträgern,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,1,20,0,0
37,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
38,verinnerlich-,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
39,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
40,Selbstanspruch,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,4,20,0,0
41,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
42,Kann,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
43,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
44,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
45,Verlust,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
46,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
47,Arbeitsplatzes,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,4,20,0,0
48,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
49,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
50,gewohnter,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
51,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
52,verwirklicht,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
53,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
54,droht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
55,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
56,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
57,dissoziative,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
58,Störung.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
59,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
60,Fragmentierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,139,20,0,0
61,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
62,äußeren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
63,Rahmens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
64,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
65,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
67,subjektiven,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
68,Ebene,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
69,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
70,Depersona-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
71,lisation,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
72,ausgedrückt.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
73,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
74,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
75,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
76,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
77,"deutlich,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
78,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
79,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
80,Wiedergewinnung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
81,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
82,individuellen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
83,Potentiale,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
84,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
85,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
86,retrospektive,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
87,Neubewertung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
88,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
89,Kompetenz-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
90,erfahrung,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
91,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
92,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
93,alternativen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
94,inneren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
95,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
96,äußeren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
97,Struktur,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
98,führt.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
99,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,464,0,1
100,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,534,0,1
101,"Simultaneität,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,153,487,0,0
102,"Zeiterleben,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,487,0,0
103,"Depersonalisation,",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,487,0,0
104,"Arbeitslosigkeit,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,1,487,0,0
105,Patchwork-Identi-,0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,9,1,487,0,0
106,"tät,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
107,Biografie.,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
108,Disenclosure,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,558,1,0
109,and,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,558,1,0
110,reappropriation,0.0,0,0,15,0,0,0,0,0,0,0,0,10,2,558,1,0
111,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,558,1,0
112,the,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,558,1,0
113,perception,0.0,0,0,10,0,0,0,0,0,0,0,0,10,2,558,1,0
114,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,558,1,0
115,time.,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,558,1,0
116,A,1.0,1,0,1,0,0,0,0,0,0,0,0,10,139,22,1,0
117,case,0.0,0,0,4,0,0,0,0,0,0,0,0,10,2,22,1,0
118,study,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,22,1,0
119,about,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,22,1,0
120,job,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,22,1,0
121,loss,0.0,0,0,4,0,0,0,0,0,0,0,0,10,2,22,1,0
122,Unemployment,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,153,593,0,0
123,undermines,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,593,0,0
124,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,593,0,0
125,subject’s,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,593,0,0
126,experience,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,593,0,0
127,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,593,0,0
128,his,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,593,0,0
129,own,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,593,0,0
130,competence,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,593,0,0
131,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,593,0,0
132,his,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
133,particular,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
134,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
135,established,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
136,perception,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
137,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
138,time.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
139,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
140,case,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
141,study,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
142,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
143,a,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,20,0,0
144,former,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
145,manager,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
146,illustrating,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
147,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
148,average,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
149,level,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
150,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
151,professional,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
152,ambition,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
153,is,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
154,often,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
155,typified,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
156,by,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
157,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
158,executi-,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
159,on,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
160,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
161,varying,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
162,degrees,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
163,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
164,"multi-tasking,",0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
165,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
166,as,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
167,inheriting,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
168,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
169,internalized,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
170,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
171,self-,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
172,imposed,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
173,demands,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
174,typical,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
175,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
176,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
177,high,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
178,potentials,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
179,that,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
180,bear,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
181,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
182,responsibility,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
183,for,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
184,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
185,institution.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
186,If,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
187,this,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
188,self-imposed,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
189,demand,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
190,is,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
191,no,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
192,longer,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
193,directed,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
194,toward,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
195,a,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,20,0,0
196,set,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
197,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
198,realiza-,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
199,ble,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
200,work-related,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
201,"goals,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
202,initially,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
203,a,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,20,0,0
204,dissociative,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
205,reaction,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
206,occurs.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
