,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Autonomie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,207,0,1
1,im,0.0,0,0,2,0,0,0,0,0,0,0,0,16,6,207,0,1
2,Kontext,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,6,207,0,1
3,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,6,207,0,1
4,Entgrenzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,6,207,0,1
5,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,6,207,0,1
6,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,34,0,1
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Lebensführung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Entwurf,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,14,139,253,0,1
10,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,14,3,253,0,1
11,sozialphilosophisch,0.0,0,0,19,0,0,0,0,0,0,0,0,14,3,253,0,1
12,begründeten,0.0,0,0,11,0,0,0,0,0,0,0,0,14,3,253,0,1
13,Perspektive1,0.08333333333333333,1,0,12,1,0,0,0,0,0,0,0,14,139,29,0,0
14,Ralph,0.2,1,0,5,0,0,0,0,0,0,0,0,12,139,295,0,0
15,Sichler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,295,0,0
16,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,331,0,1
17,Ausgangspunkt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,153,354,0,0
18,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,354,0,0
19,Beitrags,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,354,0,0
20,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,354,0,0
21,Prozesse,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,354,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,354,0,0
23,Entgrenzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,354,0,0
24,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,354,0,0
25,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,354,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,354,0,0
27,"Lebensführung,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,139,20,0,0
28,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
29,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
30,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
31,Individuen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
32,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
33,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
34,bewältigt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
35,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
36,"können,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
37,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
38,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
39,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
40,dazu,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
41,autonom,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,1,0
42,verhalten.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
43,Autonomie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
44,bedeutet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
45,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
46,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
47,Kontext,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
48,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
49,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
50,"Möglichkeit,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
51,frei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
52,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
53,jeglichen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
54,äußeren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
56,inneren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
57,Beschränkungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
58,handeln,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
59,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
60,können.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
61,Vielmehr,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
62,kommt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
63,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
64,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
65,Moment,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
67,Selbstbestimmung,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,1,20,0,0
68,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
69,Selbstgesetz-,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
70,gebung,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
71,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
72,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
73,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
75,Selbstbegrenzung,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
76,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
77,Tragen.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
78,Autonomie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
79,meint,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
80,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
81,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
82,Kompetenz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
83,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
84,"Einzelnen,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
85,aufgrund,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
86,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
87,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
88,gewählten,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
89,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
90,selbstverpflichtend,0.0,0,0,19,0,0,0,0,0,0,0,0,9,1,20,0,0
91,gültigen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
92,"Orientierungen,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
93,Prinzipien,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
94,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
95,Werten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
96,seinem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
97,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
