,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,149,201,0,1
1,Selbstthematisierung,0.05,1,0,20,0,0,0,0,0,0,0,0,16,4,201,0,1
2,Selbstthematisierung,0.05,1,0,20,0,0,0,0,0,0,0,0,16,139,255,0,1
3,Klaus-Jürgen,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,12,139,281,0,0
4,Bruder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,281,0,0
5,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,317,0,1
6,Hatte,0.2,1,0,5,0,0,0,0,0,0,0,0,9,153,340,0,0
7,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,340,0,0
8,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,340,0,0
9,70er,0.0,0,0,4,2,0,0,0,0,0,0,0,9,3,340,0,0
10,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,340,0,0
11,„Selbstthematisierung“,0.045454545454545456,0,0,22,0,0,0,0,0,0,0,0,9,3,340,0,0
12,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,340,0,0
13,Zeichen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,340,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,340,0,0
15,„Selbsterfah-,0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,9,3,340,0,0
16,rung“,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
17,"gestanden,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
19,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
21,Hoffnung,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
22,verbunden,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
23,gewesen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
24,"war,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
25,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
26,Rückzug,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
27,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
28,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
29,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
30,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
31,„wahren“,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
32,„Selbst“,0.125,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
33,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
34,"finden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
35,so,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
36,scheint,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
37,gegenwärtig,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
38,„Selbstdar-,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
39,stellung“,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
41,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Selbstthematisierung,0.05,1,0,20,0,0,0,0,0,0,0,0,9,2,20,0,0
44,geworden,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
45,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
46,"sein,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
47,vermittelt,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
48,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
49,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
50,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
51,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
52,Medien.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
53,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
54,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
55,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,Folgen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
