,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,16,153,200,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,255,0,1
4,existenzielle,0.0,0,0,13,0,0,0,0,0,0,0,0,16,4,255,0,1
5,Interview,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,255,0,1
6,Reiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,281,0,0
7,Seidel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,281,0,0
8,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,321,0,1
9,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,336,0,0
10,Mittelpunkt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,5,336,0,0
11,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,336,0,0
12,„existenziellen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,5,336,0,0
13,Interviews“,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,5,336,0,0
14,(eI),0.25,0,0,4,0,0,0,0,0,0,0,0,9,5,336,0,0
15,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,336,0,0
16,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,336,0,0
17,„existenzielle,0.0,0,0,14,0,0,0,0,0,0,0,0,9,5,336,0,0
18,Befindlichkeit“,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,139,20,0,0
19,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
