,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Selbstverhältnisse,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,4,207,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Person,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Dieter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,233,0,0
5,Sturma,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,233,0,0
6,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,269,0,1
7,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,292,0,0
8,egologische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,292,0,0
9,Vokabular,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,292,0,0
10,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,292,0,0
11,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,292,0,0
12,philosophische,0.0,0,0,14,0,0,0,0,0,0,0,0,9,1,292,0,0
13,"Erfindung,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,292,0,0
14,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,292,0,0
15,Eingang,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,292,0,0
16,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,292,0,0
17,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,292,0,0
18,Alltagssprache,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,139,20,0,0
19,gefunden,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
20,hat.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
21,Während,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
22,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
23,alltagssprachliche,0.0,0,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
24,Verwendungsweise,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
25,weitgehend,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
26,unproblematisch,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
27,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
28,bereitet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
29,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
30,semantische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
31,Klärung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
32,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
33,Begriffen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
34,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
35,"„Selbstbewusstsein“,",0.05,0,0,20,0,0,0,0,0,0,0,0,9,139,20,0,0
36,„Ich“,0.2,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
37,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
38,„Selbst“,0.125,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
39,größte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
40,Schwierigkeiten.,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,1,20,0,0
41,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
42,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
43,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
44,wichtige,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
45,Einsicht,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,gegenwärtigen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
48,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
49,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,"Geistes,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
51,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
52,solche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
53,Begriffe,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
54,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
55,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
57,singuläre,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
58,Termini,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
59,Objekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
60,identifizieren.,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
61,Daraus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
62,folgt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
63,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
64,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
65,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
66,Abwe-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
67,senheit,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
68,jeglicher,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
69,referentieller,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
70,Bestimmungen.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
71,Selbstbewusstsein,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,20,0,0
72,verfügt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
73,vielmehr,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
74,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
75,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
76,eigentümliche,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
77,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
78,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
79,Referenz.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
80,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
81,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
82,gegenwärtigen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
83,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
84,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
85,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
86,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
87,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
88,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
89,egologischen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
90,Vokabular,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
91,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
92,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
93,festgehalten,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
94,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
95,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
96,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
97,"gelingt,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
98,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
99,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
100,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
101,Person,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
102,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
103,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
104,Konzeption,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
105,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
106,Selbstverhältnissen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,1,20,0,0
107,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
108,"verbinden,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
109,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
110,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
111,Selbstreferenz,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
112,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
113,empirischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
114,Gehalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
115,verfügen.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
116,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
117,Person-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
