,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Gestaltpsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,139,207,0,1
1,als,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Grundlage,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,207,0,1
3,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Methodologie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,34,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
6,qualitativen,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,34,0,1
8,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,34,0,1
9,dargestellt,0.0,0,0,11,0,0,0,0,0,0,0,0,16,139,34,0,1
10,am,0.0,0,0,2,0,0,0,0,0,0,0,0,16,3,34,0,1
11,Gütekriterium,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,3,34,0,1
12,„gegenständliche,0.0,0,0,16,0,0,0,0,0,0,0,0,16,3,34,0,1
13,Relevanz“,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,34,0,1
14,Herbert,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,288,0,0
15,Fitzek,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,288,0,0
16,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,323,0,1
17,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,347,0,0
18,Rückstand,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,347,0,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,347,0,0
20,Methodenreflexion,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,347,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,347,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,347,0,0
23,qualitativen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,347,0,0
24,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,347,0,0
25,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,347,0,0
26,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,347,0,0
27,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
28,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
30,szientifischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
31,Wissenschaftslogik,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
32,ebenbürtige,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
33,eigenständige,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
34,Methodo-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
35,logie,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
36,aufzuholen.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
37,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
38,Chance,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
39,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
41,Begründung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
43,qualitativen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
44,Methodologie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
45,eröffnet,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
46,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
47,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
48,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
49,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,reflexive,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Eigenart,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
52,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
53,(Psychischen),0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
54,Gegenstandes,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
57,daraus,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
58,folgende,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
59,Selbstanwendung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
60,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
61,empirischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
62,Erforschung.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
63,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
64,Gestalt-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
65,psychologie,0.0,0,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
66,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
67,Produktiven,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
68,Denkens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
