,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,207,0,1
2,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Foregrounding,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,207,0,1
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,207,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
6,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,16,139,34,0,1
7,Textverarbeitungspsychologie,0.03571428571428571,1,0,28,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Nadine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,251,0,0
9,van,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,251,0,0
10,Holt,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,251,0,0
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,251,0,0
12,Norbert,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,251,0,0
13,Groeben,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,251,0,0
14,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,287,0,1
15,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,310,0,0
16,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,310,0,0
17,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,310,0,0
18,Foregrounding,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,310,0,0
19,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,310,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,310,0,0
21,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,310,0,0
22,Textverarbeitungspsychologie,0.03571428571428571,1,0,28,0,0,0,0,0,0,0,0,9,2,310,0,0
23,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
24,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
25,Manifestation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
27,gestaltpsychologischen,0.0,0,0,22,0,0,0,0,0,0,0,0,9,4,20,0,0
28,Figur-Grund-Unterscheidung,0.11538461538461539,1,0,26,0,0,0,0,0,0,0,0,9,4,20,0,0
29,angesehen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
30,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
