,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Gestalttheorie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,139,207,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,207,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Psychotherapie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Rainer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,233,0,0
5,Kästl,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,233,0,0
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,233,0,0
7,Gerhard,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,233,0,0
8,Stemberger,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,233,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,269,0,1
10,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,292,0,0
11,vorliegende,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,292,0,0
12,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,292,0,0
13,gliedert,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,292,0,0
14,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,292,0,0
15,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,292,0,0
16,zwei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,292,0,0
17,Abschnitte.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,292,0,0
18,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,292,0,0
19,erste,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,292,0,0
20,stellt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,292,0,0
21,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,292,0,0
22,Spurensuche,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
23,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
24,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
