,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,153,200,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Organisationsaufstellung,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,16,139,255,0,1
3,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,255,0,1
4,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,255,0,1
5,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,255,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Explizierung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,34,0,1
8,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,verborgenem,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Christel,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,299,0,0
12,"Kumbruck,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,299,0,0
13,Heike,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,299,0,0
14,Gnosa,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,299,0,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,299,0,0
16,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,299,0,0
17,Nickel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,299,0,0
18,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,335,0,1
19,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,358,0,0
20,folgende,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,358,0,0
21,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,358,0,0
22,befasst,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,358,0,0
23,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,358,0,0
24,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,358,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,358,0,0
26,Interventionsmethode,0.05,1,0,20,0,0,0,0,0,0,0,0,9,1,358,0,0
27,Organisationsauf-,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,1,358,0,0
28,stellung.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
29,Er,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
30,führt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
31,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
32,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
33,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Vorgehen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
36,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
38,verfolgten,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
39,Ziele,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
40,"ein,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
41,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
42,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
43,Ergebnisse,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
44,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
45,Evaluationsstudie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
46,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
47,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
48,beschäftigt,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
49,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
50,schließlich,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
51,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
52,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
53,"Frage,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
54,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
55,welche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
56,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
57,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
58,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
59,wirkt.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
60,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
61,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
62,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
63,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
64,Überlegung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
65,"eingeführt,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
66,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
67,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
68,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
69,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
70,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
71,Aufstellung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
72,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
73,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
74,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
75,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
76,Explizierung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
77,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
78,verborgenem,0.0,0,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
79,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
80,handelt.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
81,"Organisationsaufstellung,",0.04,1,0,25,0,0,0,0,0,0,0,0,9,153,473,0,0
82,verborgenes,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,473,0,0
83,"Wissen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,473,0,0
84,Unternehmensberatung.,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,9,2,473,0,0
85,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,450,0,1
86,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,509,0,1
87,Keywords,0.125,1,0,8,0,0,0,0,0,0,0,0,10,139,637,0,1
88,Organisation,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,533,1,0
89,setting,0.0,0,0,7,0,0,0,0,0,0,0,0,10,2,533,1,0
90,–,0.0,0,0,1,0,0,0,0,0,0,0,0,10,2,533,1,0
91,a,0.0,0,0,1,0,0,0,0,0,0,0,0,10,2,533,1,0
92,method,0.0,0,0,6,0,0,0,0,0,0,0,0,10,2,533,1,0
93,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,533,1,0
94,explicating,0.0,0,0,11,0,0,0,0,0,0,0,0,10,2,533,1,0
95,tacit,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,533,1,0
96,knowledge,0.0,0,0,9,0,0,0,0,0,0,0,0,10,2,533,1,0
