,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Gestalttheorie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,149,201,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,201,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,201,0,1
3,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,16,4,201,0,1
4,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,201,0,1
5,Qualität,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,255,0,1
6,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Totalität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,255,0,1
8,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,255,0,1
9,Komplexität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,255,0,1
10,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,255,0,1
11,Alltagsrealität.,0.0625,1,0,16,0,0,0,0,0,0,0,0,16,139,34,0,1
12,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
13,Erbe,0.25,1,0,4,0,0,0,0,0,0,0,0,16,4,34,0,1
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
15,Gestalttheorie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,16,4,34,0,1
16,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,34,0,1
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
18,Angewandten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,139,34,0,1
19,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
21,Diagnostik,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,34,0,1
22,Ernst,0.2,1,0,5,0,0,0,0,0,0,0,0,12,139,335,0,0
23,Plaum,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,335,0,0
24,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,371,0,1
25,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,394,0,0
26,Mainstream,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,394,0,0
27,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,9,1,394,0,0
28,Diagnostik,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,394,0,0
29,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,394,0,0
30,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,394,0,0
31,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,394,0,0
32,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,394,0,0
33,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,394,0,0
34,Gegen-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,394,0,0
35,satz,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
36,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
37,gestaltpsychologischen,0.0,0,0,22,0,0,0,0,0,0,0,0,9,3,20,0,0
