,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,153,200,0,1
1,kulturelle,0.0,0,0,10,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Erzählung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,255,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
5,kulturelles,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,255,0,1
6,Verstehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Jens,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,281,0,0
8,Brockmeier,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,281,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,329,0,1
10,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,352,0,0
11,Abgrenzung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,352,0,0
12,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,352,0,0
13,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,352,0,0
14,substantialistischen,0.0,0,0,20,0,0,0,0,0,0,0,0,9,1,352,0,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,352,0,0
16,essentialistischen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,1,352,0,0
17,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,352,0,0
18,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,352,0,0
19,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
20,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
22,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
23,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
24,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
25,Verständnis,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
26,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
27,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
28,"skizziert,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
29,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,erkenntnis-,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
31,theoretisch,0.0,0,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
33,hermeneutisch,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
34,motiviert,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
35,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
36,„Kultur“,0.125,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
37,erscheint,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
38,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
39,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
