,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Wie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,selbstlos,0.0,0,0,9,0,0,0,0,0,0,0,0,16,4,207,0,1
2,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Asiaten,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,207,0,1
4,wirklich?,0.0,0,0,9,0,0,0,0,0,0,0,0,16,4,207,0,1
5,Kritische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,139,233,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,233,0,1
7,methodologische,0.0,0,0,15,0,0,0,0,0,0,0,0,12,3,233,0,1
8,Reflexionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,233,0,1
9,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,139,25,0,1
10,kulturvergleichenden,0.0,0,0,20,0,0,0,0,0,0,0,0,12,3,25,0,1
11,Persönlichkeits-,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,3,25,0,1
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,139,25,0,1
13,Selbstkonzeptforschung,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,12,3,25,0,1
14,1,0.0,0,0,1,1,0,0,0,0,0,0,1,6,2,25,0,0
15,Pradeep,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,286,0,0
16,Chakkarath,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,286,0,0
17,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,334,0,1
18,Verständnisse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,153,357,0,0
19,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,357,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,357,0,0
21,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,357,0,0
22,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,357,0,0
23,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,357,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,357,0,0
25,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,357,0,0
26,Person,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,357,0,0
27,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,357,0,0
28,kulturell,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,357,0,0
29,geprägt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
30,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
31,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
32,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
33,Ergebnis,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
34,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
35,Vergleichs,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
36,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
37,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
38,Kulturen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
39,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
40,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
41,Personen.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
42,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Prozess,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
44,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
45,„Selbstwerdung“,0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
46,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Kulturen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
49,Individuen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
50,spielen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
