,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,kulturelle,0.0,0,0,10,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,207,0,1
3,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,207,0,1
4,philosophisch-,0.0,0,0,14,0,0,0,0,0,0,0,0,16,4,207,0,1
5,interkultureller,0.0,0,0,16,0,0,0,0,0,0,0,0,16,139,34,0,1
6,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,251,0,0
8,Göller,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,251,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,299,0,1
10,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,322,0,0
11,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,322,0,0
12,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
13,kulturellen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,322,0,0
14,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,322,0,0
15,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
16,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
17,Koinzidenz,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,322,0,0
18,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
19,individueller,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,322,0,0
20,Kompe-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,322,0,0
21,tenz,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
22,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
23,kultureller,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
24,Dependenz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
25,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
26,Inhalt.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
27,Ansatzpunkte,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
28,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
29,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
30,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
31,bilden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
32,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
33,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
34,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
35,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
36,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
37,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
38,Individuum,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
39,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
40,"Gesellschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
41,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
42,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
44,Vielzahl,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
46,Vielfalt,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
47,kultureller,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
48,"Medien,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
49,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
50,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
51,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
52,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
53,Einzelner,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
54,äußert.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
55,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
56,Kern,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
57,zielt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
58,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
59,trans-,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
60,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
61,interkulturell,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
62,tragfähige,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
63,Konzeption,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
