,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,kulturelle,0.0,0,0,10,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,207,0,1
3,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,207,0,1
4,die,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
5,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,207,0,1
6,im,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,207,0,1
7,Selbst.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,207,0,1
8,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,16,139,34,0,1
9,Skizze.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
10,Shingo,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,251,0,0
11,Shimada,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,251,0,0
12,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,299,0,1
13,Ausgehend,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,153,322,0,0
14,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
15,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,322,0,0
16,pragmatisch-handlungstheoretischen,0.0,0,0,34,0,0,0,0,0,0,0,0,9,2,322,0,0
17,Kulturbegriff,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,322,0,0
18,zeigt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,322,0,0
19,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
20,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
21,"auf,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
22,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
24,kulturellen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
25,Vorgaben,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
27,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
28,japanischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
29,lebensge-,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
30,schichtlichen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
31,Interview,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
32,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
33,Kunsttöpfers,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
34,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
35,Erscheinung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
36,treten.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
37,Hierbei,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
38,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
39,"deutlich,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
40,welcher,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
41,Erzählmuster,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
42,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
43,welcher,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
44,Semantiken,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
45,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Erzähler,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
48,"bedient,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
49,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
50,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
51,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
52,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
53,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
54,Erzählung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
55,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
56,inszenieren.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
57,Sichtbar,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
58,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
59,"dabei,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
60,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
61,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
62,Erzähler,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
63,stets,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
