,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,16,153,200,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Added,0.2,1,0,5,0,0,0,0,0,0,0,0,16,139,255,0,1
4,Value,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,255,0,1
5,statt,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,255,0,1
6,menschlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Werten?,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,255,0,1
8,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,139,281,0,1
9,Genese,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,281,0,1
10,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,281,0,1
11,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,281,0,1
12,Entfremdung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,281,0,1
13,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,281,0,1
14,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,281,0,1
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,139,25,0,1
16,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,25,0,1
17,Interaktion,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,25,0,1
18,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,320,0,0
19,G.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,320,0,0
20,Weber,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,320,0,0
