,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,dialogische,0.0,0,0,11,0,0,0,0,0,0,0,0,16,4,207,1,1
2,Selbst:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,16,4,207,1,1
3,Interkulturelle,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Kommunikation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,139,34,0,1
5,„in“,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,34,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Person?,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Barbara,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,251,0,0
9,Zielke,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,251,0,0
10,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,299,0,1
11,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,322,0,0
12,dialogische,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,322,1,0
13,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,322,1,0
14,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,322,0,0
15,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,322,0,0
16,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,322,0,0
17,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,322,0,0
18,viel,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,322,0,0
19,versprechende,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,322,0,0
