,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,„Und,0.25,0,0,4,0,0,0,0,0,0,0,0,16,139,207,0,1
1,alle,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,16,4,207,0,1
3,will,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Ewigkeit!?“,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,207,0,1
5,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
6,Sexualleben,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
7,älterer,0.0,0,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
9,als,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
10,diskursiv-soziales,0.0,0,0,18,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Konstrukt,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Josef,0.2,1,0,5,0,0,0,0,0,0,0,0,12,139,269,0,0
13,Christian,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,269,0,0
14,Aigner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,269,0,0
15,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,317,0,1
16,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,340,0,0
17,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,340,0,0
18,diskutiert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,340,0,0
19,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,340,0,0
20,Phänomen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,340,0,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,340,0,0
22,„Alterssexualität“,0.05555555555555555,0,0,18,0,0,0,0,0,0,0,0,9,3,340,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,340,0,0
24,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,340,0,0
25,Gesell-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,340,0,0
26,schaft.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
27,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
28,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
29,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
30,sexuelles,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Verhalten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
33,sexuelle,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Bedürfnisse,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
35,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
36,Men-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
37,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
