,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Alter,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,207,0,1
2,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Täuschungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,207,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
5,Selbsttäuschungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,16,139,34,0,1
6,Eva,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,139,251,0,0
7,Jaeggi,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,251,0,0
8,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,299,0,1
9,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,322,0,0
10,Auseinandersetzung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,2,322,0,0
11,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
12,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
13,Alter,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,322,0,0
14,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
15,gerade,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,322,0,0
16,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,322,0,0
17,begonnen:,0.0,0,0,9,0,0,1,0,0,0,0,0,9,2,322,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
19,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,322,0,0
20,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,322,0,0
21,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
22,Alter,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
23,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
24,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
25,defizitäres,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
26,Stadium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
27,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
28,Lebens,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
29,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
30,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
31,Täuschungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
33,Selbst-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
34,täuschungen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
35,begleitet.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
36,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
37,Aufhebung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
38,vieler,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
39,Selbsttäuschungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,4,20,0,0
40,würde,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
41,Energie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
42,sparen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
43,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
44,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
45,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
46,aufscheinen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
47,lassen.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
48,Damit,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
49,rückt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
50,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
51,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
52,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
53,Gelassenheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
54,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
55,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,Vordergrund.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
57,"Alter,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,153,426,0,0
58,"Altersdefizite,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,426,0,0
59,Störungen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,426,0,0
60,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,426,0,0
61,"Alter,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,426,0,0
62,Gelassenheit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,426,0,0
63,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,403,0,1
64,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,462,0,1
65,Keywords,0.125,1,0,8,0,0,0,0,0,0,0,0,10,139,579,0,1
66,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,139,486,1,0
67,Age,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,2,486,1,0
68,–,0.0,0,0,1,0,0,0,0,0,0,0,0,10,2,486,1,0
69,Deception,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,2,486,1,0
70,and,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,486,1,0
71,self-deception,0.0,0,0,14,0,0,0,0,0,0,0,0,10,2,486,1,0
72,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,509,0,0
73,dispute,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,509,0,0
74,about,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,509,0,0
75,old,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,509,0,0
76,age,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,509,0,0
77,has,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,509,0,0
78,just,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,509,0,0
79,begun.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,509,0,0
80,Viewing,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,509,0,0
81,old,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,509,0,0
82,age,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,509,0,0
83,as,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,509,0,0
84,a,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,509,0,0
