,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Streit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,139,207,0,1
1,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Generationen?,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Altern,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,14,139,235,0,1
4,im,0.0,0,0,2,0,0,0,0,0,0,0,0,14,3,235,0,1
5,Feld,0.25,1,0,4,0,0,0,0,0,0,0,0,14,3,235,0,1
6,von,0.0,0,0,3,0,0,0,0,0,0,0,0,14,3,235,0,1
7,Generationenbeziehung,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,14,3,235,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,139,29,0,1
9,Generationenverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,14,3,29,0,1
10,Franz,0.2,1,0,5,0,0,0,0,0,0,0,0,12,139,277,0,0
11,Kolland,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,277,0,0
12,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,324,0,1
13,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,348,0,0
14,gegenwärtige,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,348,0,0
15,Generationendiskussion,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,4,348,0,0
16,leidet,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,348,0,0
17,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,348,0,0
18,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,348,0,0
19,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,348,0,0
20,beträchtlichen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,4,348,0,0
21,begrifflichen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
22,"Ungenauigkeiten,",0.0625,1,0,16,0,0,0,0,0,0,0,0,9,1,20,0,0
23,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
24,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
25,"daran,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
26,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
27,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
28,vorhandenen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
29,Daten,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
30,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
31,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
32,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
33,einseitigen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
34,Generalisierungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
35,genutzt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
36,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
37,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
38,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
39,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
40,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
41,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
42,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
43,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,Theoriegeschichte,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
46,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Generationendenkens,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,2,20,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
49,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,demogra-,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
51,phischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
52,Wandels,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
53,Forschungsergebnisse,0.05,1,0,20,0,0,0,0,0,0,0,0,9,1,20,0,0
54,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
55,Klima,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
56,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
57,"Generationenverhältnisses,",0.038461538461538464,1,0,26,0,0,0,0,0,0,0,0,9,1,20,0,0
58,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
59,Beziehungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
60,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
61,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
62,Generationen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
63,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
65,Familie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
66,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
67,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
68,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
69,Arbeitswelt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
70,dargestellt.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
71,Gezeigt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
72,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
73,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
74,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
75,meisten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
76,älteren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
77,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
78,fest,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
79,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
80,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
81,Familie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
82,integriert,0.0,0,0,10,0,0,0,0,0,0,0,0,9,139,20,0,0
83,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
