,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Horizonte,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,153,200,0,1
1,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Alterns,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,16,139,255,0,1
4,die,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
5,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,255,0,1
6,dich,0.0,0,0,4,0,0,0,0,0,0,0,0,16,4,255,0,1
7,"erreichen,",0.0,0,0,10,0,0,0,0,0,0,0,0,16,4,255,0,1
8,von,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
9,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,255,0,1
10,du,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,255,0,1
11,sagen,0.0,0,0,5,0,0,0,0,0,0,0,0,16,139,34,0,1
12,wirst:,0.0,0,0,6,0,0,1,0,0,0,0,0,16,4,34,0,1
13,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
14,mag,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
15,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
16,nicht!1,0.0,0,0,7,1,0,0,0,0,0,0,0,16,4,34,0,0
17,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,2,34,0,1
18,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,34,0,1
19,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
20,Ambivalenz,0.1,1,0,10,0,0,0,0,0,0,0,0,16,4,34,0,1
21,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
22,Alterns,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,4,34,0,1
23,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
24,kommunikativ-theologischer,0.0,0,0,26,0,0,0,0,0,0,0,0,16,139,34,0,1
25,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
26,Matthias,0.125,1,0,8,0,0,0,0,0,0,0,0,12,139,335,0,0
27,Scharer,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,335,0,0
