,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,153,200,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,255,0,1
3,Modell,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,255,0,1
4,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,255,0,1
5,Erklärung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,255,0,1
6,alltagskulturellen,0.0,0,0,18,0,0,0,0,0,0,0,0,16,4,255,0,1
7,Wandels:,0.125,1,0,8,0,0,1,0,0,0,0,0,16,139,34,0,1
8,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
10,deutsche,0.0,0,0,8,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Vereinigung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
13,die,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
14,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,34,0,1
15,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
16,Rechtsextremismus,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,16,4,34,0,1
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,139,34,0,1
18,den,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
19,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,34,0,1
20,Bundesländern,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
21,Wolf,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,335,0,0
22,Wagner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,335,0,0
23,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,335,0,0
24,Hendrik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,335,0,0
25,Berth,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,335,0,0
26,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,383,0,1
27,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,406,0,0
28,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,406,0,0
29,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,406,0,0
30,allgemeines,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,406,0,0
31,Modell,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,406,0,0
32,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,406,0,0
33,Erklärung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,406,0,0
34,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,406,0,0
35,Wandels,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,406,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,406,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,406,0,0
38,Alltagskultur,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,406,0,0
39,"vorgestellt,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
40,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
41,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
42,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Wandel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,politischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
46,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
47,am,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
48,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,Entstehung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
51,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
52,Rechtsextremismus,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
53,angewandt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
54,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
55,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,Bourdieu,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
57,(1987),0.0,0,0,6,4,0,0,0,0,0,0,0,9,2,20,0,0
58,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
59,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
60,Achsensys-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
61,tem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
62,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
63,Beschreibung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
64,gesellschaftlicher,0.0,0,0,18,0,0,0,0,0,0,0,0,9,3,20,0,0
65,Positionen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
66,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
67,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
68,Elias,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
69,(1980),0.0,0,0,6,4,0,0,0,0,0,0,0,9,3,20,0,0
70,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
71,Vor-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
72,stellung,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
73,"übernommen,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
74,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
75,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
76,Verhaltensnormen,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,4,20,0,0
77,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
78,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
79,Eliten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
80,her,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
81,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
82,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
83,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
84,"ausbreiten,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
85,weil,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
86,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
87,"meinen,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
88,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
89,Prestige,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
90,steigern,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
91,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
92,"können,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
93,indem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
94,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
95,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
96,Verhalten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
97,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
