,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Altersbilder,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Hans,0.25,1,0,4,0,0,0,0,0,0,0,0,12,139,233,0,0
2,Jörg,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,233,0,0
3,Walter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,233,0,0
4,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,281,0,1
5,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,304,0,0
6,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,304,0,0
7,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,304,0,0
8,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,304,0,0
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,304,0,0
10,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,304,0,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,304,0,0
12,Altersbilder,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,304,0,0
13,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,304,0,0
14,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,4,304,0,0
15,Perspektiven,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
16,(u.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
17,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,0,20,0,0
18,"Entwicklungspsychologie,",0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,9,1,20,0,0
19,"Erziehungswissenschaften,",0.04,1,0,25,0,0,0,0,0,0,0,0,9,1,20,0,0
20,Psychoana-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
21,"lyse,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
22,Geschichte),0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
23,beleuchtet.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
24,Sodann,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
25,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
26,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
27,Beispielen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
28,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,Werbung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
31,manifeste,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
33,latente,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
34,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
35,gegenwärtiger,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
36,Altersbilder,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
37,thematisiert,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
39,diskutiert.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
40,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
41,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
42,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
44,sozialwissenschaftliche,0.0,0,0,23,0,0,0,0,0,0,0,0,9,3,20,0,0
45,Interpretationsmethode,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,3,20,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
47,tiefenhermeneuti-,0.0,0,0,17,0,0,0,0,0,0,0,0,9,3,20,0,0
48,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
49,Kulturanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
50,zurückgegriffen.,0.0,0,0,16,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Aufgezeigt,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
52,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
53,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
54,"anderem,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
55,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
56,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
58,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
59,jugendliche,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
60,Idealisierungen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
61,moderne,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
62,Altersbilder,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
63,kontaminieren.,0.0,0,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
64,Schlagwörter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,139,408,0,1
65,"Altersbilder,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,153,431,0,0
66,Entwicklungspsychologie,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,1,431,0,0
67,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,431,0,0
68,"Lebensspanne,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,431,0,0
69,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,431,0,0
70,Repräsentatio-,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,1,431,0,0
71,nen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
72,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
73,Alters,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
74,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
75,"Alterns,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
76,Tiefenhermeneutik,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
77,Summary,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,139,478,0,1
78,Images,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,139,502,1,0
79,of,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,502,1,0
80,age,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,502,1,0
81,Keywords,0.125,1,0,8,0,0,0,0,0,0,0,0,10,139,629,0,1
82,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,525,0,0
83,this,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,525,0,0
84,article,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,525,0,0
85,at,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,525,0,0
86,first,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,525,0,0
87,the,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,525,0,0
88,concept,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,525,0,0
89,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,525,0,0
90,images,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,525,0,0
91,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,525,0,0
92,aging,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,525,0,0
93,is,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,525,0,0
94,illuminated,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,525,0,0
95,from,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,525,0,0
96,different,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,525,0,0
97,point,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
98,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
99,"views,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
100,e.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
101,g.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
102,developmental,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
103,"psychology,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
104,"pedagogics,",0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
105,psychoanalysis,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
106,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
107,history.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
108,Thereafter,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
109,by,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
110,analyzing,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
111,some,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
112,examples,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
113,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
114,advertising,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
115,manifest,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
116,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
117,latent,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
118,aspects,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
119,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
120,present,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
121,images,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
122,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
123,age,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
124,are,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
125,picked,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
126,out,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
127,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
128,discussed.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
129,Thereby,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
130,deep,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
131,herme-,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
132,neutics,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
133,as,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
134,a,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,20,0,0
135,certain,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
136,method,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
137,of,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
138,interpreting,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
139,social,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
140,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
141,cultural,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
142,phenomena,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
143,is,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
144,accessed.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
145,Among,0.2,1,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
146,other,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
147,things,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
148,it,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
149,is,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
150,pointed,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
151,out,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
152,that,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
153,more,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
154,and,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
