,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Vergleich,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,139,195,0,1
1,schöpferischer,0.0,0,0,14,0,0,0,0,0,0,0,0,16,4,195,0,1
2,Entwurfstätigkeiten,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,16,4,195,0,1
3,Ulrike,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,221,0,0
4,Englisch,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,221,0,0
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,221,0,0
6,Pierre,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,221,0,0
7,Sachse,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,221,0,0
8,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,269,0,1
9,Ausgehend,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,153,292,0,0
10,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,292,0,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,292,0,0
12,"Annahme,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,292,0,0
13,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,292,0,0
14,Gestaltungs-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,292,0,0
15,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,292,0,0
16,Entwurfstätigkeiten,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,2,292,0,0
17,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,292,0,0
18,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
19,zentrale,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
20,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
21,menschlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
22,Handelns,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
23,darstellen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
24,"lassen,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
25,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
27,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
28,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
29,zudem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
30,"dargelegt,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
31,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
32,Gestaltungstätigkeiten,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,9,1,20,0,0
33,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
34,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
35,Kontinuum,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
36,zurückführbar,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
37,sind.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
38,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
39,Pole,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
40,desselben,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
41,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
42,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
43,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
44,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,technischen,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
46,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
48,nicht-technischen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,2,20,0,0
49,(künstlerischen),0.0,0,0,16,0,0,0,0,0,0,0,0,9,139,20,0,0
