,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,207,0,1
1,denken,0.0,0,0,6,0,0,0,0,0,0,0,0,16,4,207,0,1
2,Studierende,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,207,0,1
3,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,207,0,1
5,über,0.0,0,0,4,0,0,0,0,0,0,0,0,16,139,34,0,1
6,das,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
7,"Gehirn-Bewusstsein-Problem,",0.1111111111111111,1,0,27,0,0,0,0,0,0,0,0,16,4,34,0,1
8,über,0.0,0,0,4,0,0,0,0,0,0,0,0,16,139,34,0,1
9,"Willensfreiheit,",0.0625,1,0,16,0,0,0,0,0,0,0,0,16,4,34,0,1
10,"Transzendenz,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
12,den,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
13,Einfluss,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,34,0,1
14,philosophischer,0.0,0,0,15,0,0,0,0,0,0,0,0,16,4,34,0,1
15,Vorentscheidungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,16,4,34,0,1
16,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
17,die,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
18,Berufspraxis?,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,16,4,34,0,1
19,Jochen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,306,0,0
20,Fahrenberg,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,306,0,0
21,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,353,0,1
22,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,377,0,0
23,Antworten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,377,0,0
24,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,377,0,0
25,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,377,0,0
26,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,377,0,0
27,„Was,0.25,0,0,4,0,0,0,0,0,0,0,0,9,1,377,0,0
28,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,377,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,377,0,0
30,Mensch“,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,377,0,0
31,gehören,0.0,0,0,7,0,0,0,0,0,0,0,0,9,1,377,0,0
32,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,377,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,377,0,0
34,Philosophische,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,1,377,0,0
35,Anthropologie,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,139,20,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
37,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
38,empirisch,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
39,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
40,untersuchende,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
41,Überzeugungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
42,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
44,Differen-,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
45,tielle,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
46,Psychologie.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Solche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
48,Untersuchungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
49,fehlen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
50,bisher.,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
52,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
53,entwickelte,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
54,Fra-,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
55,gebogen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
56,enthält,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
57,64,0.0,0,0,2,2,0,0,0,0,0,0,1,9,2,20,0,0
58,"Fragen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
59,Skalen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
60,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
61,Trilemmata,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
62,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
63,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
64,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
65,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
66,Themen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
67,Gehirn,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
68,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
69,"Bewusstsein,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
70,"Willensfreiheit,",0.0625,1,0,16,0,0,0,0,0,0,0,0,9,1,20,0,0
71,Schöpfung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
72,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
73,"Evolution,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
74,"Gottes-Glauben,",0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
75,Theodizee-,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
76,"Problem,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
77,Sinnfragen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
78,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
79,Lebens.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
80,An,0.5,1,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
81,sieben,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
82,Universitäten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
83,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
84,West-,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
85,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
86,Ost-Deutsch-,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
87,land,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
88,wurden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
89,563,0.0,0,0,3,3,0,0,0,0,0,0,1,9,1,20,0,0
90,Studierende,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
91,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
92,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
93,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
94,–,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,20,0,0
95,primär,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
96,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
97,Freiburg,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
98,–,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,20,0,0
99,233,0.0,0,0,3,3,0,0,0,0,0,0,1,9,1,20,0,0
100,Studie-,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,20,0,0
101,rende,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
102,anderer,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
103,Fächer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
104,erfasst.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
105,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,20,0,0
106,Menschenbild,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
107,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
108,Studierenden,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
109,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
110,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
111,ausgewählten,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
112,theoretischen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
113,Konzepten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
114,beschrieben:,0.0,0,0,12,0,0,1,0,0,0,0,0,9,1,20,0,0
115,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
116,Grundüberzeugungen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,20,0,0
117,hinsichtlich,0.0,0,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
118,Monismus-Dualismus-,0.10526315789473684,1,0,19,0,0,0,0,0,0,0,0,9,1,20,0,0
119,"Komplementarität,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,139,20,0,0
120,"Atheismus-Agnostizismus-Deismus-Theismus,",0.0975609756097561,1,0,41,0,0,0,0,0,0,0,0,9,4,20,0,0
121,Einstellung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
122,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
123,"Transzendenz-Immanenz,",0.09090909090909091,1,0,22,0,0,0,0,0,0,0,0,9,139,20,0,0
124,Selbsteinstufungen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,2,20,0,0
125,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
126,Religiosität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
127,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
128,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
129,Interesses,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
130,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
131,Sinnfragen.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,139,20,0,0
132,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
133,Ergebnisse,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
134,lassen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
135,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
136,Vielfalt,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
137,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
138,Überzeugungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
139,"erkennen,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
140,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
141,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
142,wenige,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
143,Unterschiede,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
144,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
145,Männern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
146,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
147,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
148,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
149,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
150,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
151,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
152,mittleren,0.0,0,0,9,0,0,0,0,0,0,0,0,9,139,20,0,0
153,Semestern.,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
