,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,153,200,0,1
1,–,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,200,0,1
2,notre,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
3,amour,0.0,0,0,5,0,0,0,0,0,0,0,0,16,4,200,0,1
4,Ursprungsmythos,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,16,139,255,0,1
5,William,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,139,293,0,1
6,Stern,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,293,0,1
7,(1871–1938),0.0,0,0,11,8,0,0,0,0,0,0,0,12,3,293,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,293,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,293,0,1
10,„Ursprungsmythos“,0.058823529411764705,0,0,17,0,0,0,0,0,0,0,0,12,3,293,0,1
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,139,25,0,1
12,Differentiellen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,25,0,1
13,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,25,0,1
14,James,0.2,1,0,5,0,0,0,0,0,0,0,0,12,139,332,0,0
15,T.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,332,0,0
16,Lamiell,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,332,0,0
17,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,380,0,1
18,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,403,0,0
19,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,403,0,0
20,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,403,0,0
21,„origin,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,403,0,0
22,myth“,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,403,0,0
23,wollte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,403,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,403,0,0
25,amerikanische,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,403,0,0
26,Psychologe,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,403,0,0
27,Franz,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,403,0,0
28,Samelson,0.125,1,0,8,0,0,0,0,0,0,0,0,9,139,20,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
30,Idee,0.25,1,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
31,Ausdruck,0.125,1,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
32,"verleihen,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
33,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
34,Wissenschaftler,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
35,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
36,Vorgänger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
37,manch-,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,20,0,0
38,mal,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
39,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
40,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
41,ganz,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
42,bestimmtes,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
43,Licht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
44,"rücken,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
45,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
46,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
47,"Wissenschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
49,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
50,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
51,betrei-,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
52,"ben,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
53,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
54,legitimieren.,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
55,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
56,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
57,Kontext,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
58,deutete,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
59,Samelson,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
60,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
61,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
62,Notwendigkeit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
63,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,139,20,0,0
64,kritischen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
65,Haltung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
66,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
67,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
68,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
69,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
70,gegenwärtigen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,20,0,0
71,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,20,0,0
72,hin.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
73,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
74,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,139,20,0,0
75,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
76,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
77,Beweise,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
78,dafür,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
79,"vorgelegt,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
80,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
81,genau,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
82,solch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
83,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
84,„origin,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
85,myth“,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
86,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
87,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
88,gegenwärtigen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
89,Differentiellen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,1,20,0,0
90,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
91,dominiert.,0.0,0,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
92,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
93,deutsche,0.0,0,0,8,0,0,0,0,0,0,0,0,9,1,20,0,0
94,Philosoph,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
95,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
