,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Gestaltübergänge,0.0625,1,0,16,0,0,0,0,0,0,0,0,16,139,195,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,16,4,195,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,195,0,1
3,Musik.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,195,0,1
4,Vom,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
5,Wandel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,34,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
7,Ordnungsprinzipien,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,16,4,34,0,1
8,Helmut,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,239,0,0
9,Reuter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,239,0,0
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,239,0,0
11,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,239,0,0
12,A.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,3,239,0,0
13,Stadler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,239,0,0
14,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,287,0,1
15,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,153,310,0,0
16,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,1,310,0,0
17,Essay,0.2,1,0,5,0,0,0,0,0,0,0,0,9,1,310,0,0
18,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,310,0,0
19,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,310,0,0
20,Kategorien,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,310,0,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,310,0,0
22,Gestaltpsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,1,310,0,0
23,"zurückgegriffen,",0.0,0,0,16,0,0,0,0,0,0,0,0,9,1,310,0,0
24,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,310,0,0
25,strukturelle,0.0,0,0,12,0,0,0,0,0,0,0,0,9,139,20,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
27,prozessbezogene,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
28,Besonderheiten,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,2,20,0,0
29,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
30,Phänomenen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,20,0,0
31,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
32,Bereich,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
33,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
34,künstlerischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,139,20,0,0
35,Gestaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,1,20,0,0
36,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
37,erklären.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
38,Insbesondere,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,20,0,0
39,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,1,20,0,0
40,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
41,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
42,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
43,Gestaltpostu-,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
44,late,0.0,0,0,4,0,0,0,0,0,0,0,0,9,139,20,0,0
45,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
46,Einfachheit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
47,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,20,0,0
48,Komplexität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,1,20,0,0
49,konstituierte,0.0,0,0,13,0,0,0,0,0,0,0,0,9,1,20,0,0
50,Spannungsbogen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,1,20,0,0
51,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,9,1,20,0,0
52,Grundsät-,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,20,0,0
53,ze,0.0,0,0,2,0,0,0,0,0,0,0,0,9,139,20,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
55,Gestaltprägnanz,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
