,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,16,153,200,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,200,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,200,0,1
3,Dialogisches,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,139,255,0,1
4,"Selbst,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,3,255,0,1
5,Sozialer,0.125,1,0,8,0,0,0,0,0,0,0,0,16,3,255,0,1
6,Konstruktivismus,0.0625,1,0,16,0,0,0,0,0,0,0,0,16,3,255,0,1
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,139,34,0,1
8,die,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
9,Stummheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,16,4,34,0,1
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,34,0,1
11,Leibes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,34,0,1
12,Kommentar,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,139,311,0,1
13,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,311,0,1
14,„Das,0.25,0,0,4,0,0,0,0,0,0,0,0,12,3,311,0,1
15,dialogische,0.0,0,0,11,0,0,0,0,0,0,0,0,12,3,311,1,1
16,Selbst:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,12,3,311,0,1
17,Interkulturelle,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,311,0,1
18,Kommunikation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,139,25,0,1
19,",in‘",0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,25,0,1
