,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Zwischen,0.125,1,0,8,0,0,0,0,0,0,0,0,16,139,207,0,1
1,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,16,4,207,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,207,0,1
3,Nicht-Wissen,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,16,4,207,0,1
4,Verleugnungsprozesse,0.05,1,0,20,0,0,0,0,0,0,0,0,12,139,233,0,1
5,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,233,0,1
6,Tumorerkrankungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,3,233,0,1
7,Tilman,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,139,259,0,0
8,Watzel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,259,0,0
9,Zusammenfassung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,139,306,0,1
10,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,153,330,0,0
11,Konfrontation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,1,330,0,0
12,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,330,0,0
13,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,330,0,0
14,potentiell,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,330,0,0
15,tödlichen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,1,330,0,0
16,Erkrankung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,330,0,0
17,bringt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,330,0,0
18,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,330,0,0
19,Erkrank-,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,330,0,0
20,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,9,139,20,0,0
21,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
22,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
23,soziales,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
24,Umfeld,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
25,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
26,existenziellen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
27,Ängsten,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
29,"Kontakt,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
31,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
32,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
33,meisten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,139,20,0,0
34,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
35,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
36,Überforderung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,20,0,0
