,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,K,1.0,1,0,1,0,0,0,0,0,0,0,0,12,295,51,0,1
1,O,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
2,D,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
3,I,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
4,K,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
5,A,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
6,S,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
7,/,0.0,0,0,1,0,1,0,0,0,0,0,0,12,1,51,0,1
8,C,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
9,O,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
10,D,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
11,E,1.0,1,0,1,0,0,0,0,0,0,0,0,12,1,51,0,1
12,Ars,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,294,20,0,1
13,Semeiotica,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,20,0,1
14,Volume,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,294,15,0,1
15,11,0.0,0,0,2,2,0,0,0,0,0,0,1,7,4,15,0,1
16,(1988),0.0,0,0,6,4,0,0,0,0,0,0,0,7,5,15,0,1
17,■No.,0.25,0,0,4,0,0,0,0,0,0,0,0,7,4,15,0,1
18,3/4,0.0,0,0,3,2,1,0,0,0,0,0,1,7,2,15,0,1
19,Gunter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,294,15,0,1
20,Narr,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,15,0,1
21,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,15,0,1
22,Tübingen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,15,0,1
23,.,0.0,0,0,1,0,0,0,0,0,0,0,0,11,96,120,0,0
24,ALS,1.0,1,0,3,0,0,0,0,0,0,0,0,11,2,120,0,0
25,HÄTTE,1.0,1,0,5,0,0,0,0,0,0,0,0,11,3,120,0,0
26,JEMAND,1.0,1,0,6,0,0,0,0,0,0,0,0,11,3,120,0,0
27,DEN,1.0,1,0,3,0,0,0,0,0,0,0,0,11,3,120,0,0
28,DECKEL,1.0,1,0,6,0,0,0,0,0,0,0,0,11,3,120,0,0
29,VOM,1.0,1,0,3,0,0,0,0,0,0,0,0,11,3,120,0,0
30,LEBEN,1.0,1,0,5,0,0,0,0,0,0,0,0,11,79,24,0,0
31,ABGEHOBEN.”,0.8181818181818182,1,0,11,0,0,0,0,0,0,0,0,11,3,24,0,0
32,Abduktives,0.1,1,0,10,0,0,0,0,0,0,0,0,11,79,23,0,0
33,Schließen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,3,23,0,0
34,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,23,0,0
35,Ch.S.,0.4,1,0,5,0,0,0,0,0,0,0,0,11,2,23,0,0
36,Peirce,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,3,23,0,0
37,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,23,0,0
38,D.,0.5,1,0,2,0,0,0,0,0,0,0,0,11,3,23,0,0
39,Hammett,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,3,23,0,0
40,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,79,170,0,0
41,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,170,0,0
42,"Ja,",0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,234,192,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,192,0,0
44,E,1.0,1,0,1,0,0,0,0,0,0,0,0,8,5,192,0,0
45,rde,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,192,0,0
46,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,192,0,0
47,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,192,0,0
48,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,5,192,0,0
49,ü,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,192,0,0
50,nne,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,192,0,0
51,K,1.0,1,0,1,0,0,0,0,0,0,0,0,8,5,192,0,0
52,ru,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,192,0,0
53,"ste,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,0,192,0,0
54,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,192,0,0
55,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,234,17,0,0
56,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,17,0,0
57,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,7,17,0,0
58,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
59,"er,",0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,17,0,0
60,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,17,0,0
61,k,0.0,0,0,1,0,0,0,0,0,0,0,0,8,6,17,0,0
62,ö,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
63,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
64,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
65,te,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,17,0,0
66,du,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,17,0,0
67,rch,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,17,0,0
68,fallen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,0,17,0,0
69,",",0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,17,0,0
70,w,0.0,0,0,1,0,0,0,0,0,0,0,0,8,234,17,0,0
71,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,17,0,0
72,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,17,0,0
73,L,1.0,1,0,1,0,0,0,0,0,0,0,0,8,4,17,0,0
74,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
75,ch,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,17,0,0
76,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,17,0,0
77,M,1.0,1,0,1,0,0,0,0,0,0,0,0,8,4,17,0,0
78,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,17,0,0
79,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,17,0,0
80,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
81,ß,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
82,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,17,0,0
83,it,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,17,0,0
84,V,1.0,1,0,1,0,0,0,0,0,0,0,0,8,3,17,0,0
85,orsicht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,1,17,0,0
86,a,0.0,0,0,1,0,0,0,0,0,0,0,0,8,234,17,0,0
87,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
88,ftre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,17,0,0
89,te,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,17,0,0
90,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
91,",",0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
92,m,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,17,0,0
93,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,17,0,0
94,k,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,17,0,0
95,ö,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
96,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
97,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,17,0,0
98,te,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,17,0,0
99,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,17,0,0
100,u,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,17,0,0
101,rch,0.0,0,0,3,0,0,0,0,0,0,0,0,8,0,17,0,0
102,b,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,17,0,0
103,rech,0.0,0,0,4,0,0,0,0,0,0,0,0,8,0,17,0,0
104,en,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,17,0,0
105,.,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,17,0,0
106,(G,0.5,0,0,2,0,0,0,0,0,0,0,0,8,266,18,0,0
107,eorg,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,18,0,0
108,B,1.0,1,0,1,0,0,0,0,0,0,0,0,8,3,18,0,0
109,üchner,0.0,0,0,6,0,0,0,0,0,0,0,0,8,1,18,0,0
110,—,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,18,0,0
111,D,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,18,0,0
112,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,18,0,0
113,to,0.0,0,0,2,0,0,0,0,0,0,0,0,8,0,18,0,0
114,n,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,18,0,0
115,s,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,18,0,0
116,T,1.0,1,0,1,0,0,0,0,0,0,0,0,8,3,18,0,0
117,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,18,0,0
118,d,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,18,0,0
119,),0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,18,0,0
120,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,32,268,0,1
121,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,268,0,1
122,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,268,0,1
123,Flitcrafts,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,268,0,1
124,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,268,0,1
125,"Subjektivus,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,6,268,0,1
126,Objektivus,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,268,0,1
127,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,268,0,1
128,doch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,268,0,1
129,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,268,0,1
130,anderes?,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,268,0,1
131,“Ein,0.25,0,0,4,0,0,0,0,0,0,0,0,9,32,292,0,0
132,Grundstücksmakler,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,292,0,0
133,namens,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,292,0,0
134,Flitcraft,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,292,0,0
135,hatte,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,292,0,0
136,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,292,0,0
137,Tages,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,292,0,0
138,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,292,0,0
139,Büro,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,292,0,0
140,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,292,0,0
141,Tacoma,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,292,0,0
142,"verlassen,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,292,0,0
143,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,31,21,0,0
144,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
145,Lunch,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,21,0,0
146,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,21,0,0
147,"gehen,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,21,0,0
148,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,21,0,0
149,war,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
150,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
151,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,21,0,0
152,zurückgekommen.”,0.0,0,0,16,0,0,0,0,0,0,0,0,9,2,21,0,0
153,(Hammett,0.125,0,0,8,0,0,0,0,0,0,0,0,9,2,21,0,0
154,"1974,",0.0,0,0,5,4,0,0,0,0,0,0,1,9,3,21,0,0
155,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,21,0,0
156,68).,0.0,0,0,4,2,0,0,0,0,0,0,0,9,2,21,0,0
157,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,31,21,0,0
158,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,21,0,0
159,Worten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,21,0,0
160,beginnt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,21,0,0
161,Sam,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
162,Spade,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,21,0,0
163,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,21,0,0
164,"Geschichte,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,21,0,0
165,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,21,0,0
