,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Discussions,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,13,83,77,0,1
1,KODIKAS,1.0,1,0,7,0,0,0,0,0,0,0,0,9,302,62,0,1
2,/,0.0,0,0,1,0,1,0,0,0,0,0,0,10,3,62,0,0
3,CODE,1.0,1,0,4,0,0,0,0,0,0,0,0,9,5,62,0,1
4,AmSemdotica,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,6,302,20,0,1
5,Vdumo,0.2,1,0,5,0,0,0,0,0,0,0,0,6,302,15,0,1
6,13,0.0,0,0,2,2,0,0,0,0,0,0,1,6,1,15,0,1
7,(1-,0.0,0,0,3,1,0,0,0,0,0,0,0,6,1,15,0,1
8,.No.,0.25,0,0,4,0,0,0,0,0,0,0,0,13,16,15,0,1
9,314,0.0,0,0,3,3,0,0,0,0,0,0,1,6,1,15,0,1
10,Ounter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,302,19,0,1
11,Nam,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,1,19,0,1
12,Vwhg,0.25,1,0,4,0,0,0,0,0,0,0,0,6,2,19,0,1
13,Tübingen,0.125,1,0,8,0,0,0,0,0,0,0,0,6,1,19,0,1
14,Folgern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,13,83,139,0,1
15,Sherlock,0.125,1,0,8,0,0,0,0,0,0,0,0,13,3,139,0,1
16,Holmes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,1,139,0,1
17,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,13,2,139,0,1
18,Mr.,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,2,139,0,1
19,Dupin,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,139,0,1
20,abduktiv?,0.0,0,0,9,0,0,0,0,0,0,0,0,13,3,139,0,1
21,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,83,157,0,0
22,Fehlbestimmung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,2,157,0,0
