,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,K,1.0,1,0,1,0,0,0,0,0,0,0,0,8,300,48,0,1
1,O,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
2,D,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
3,I,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
4,K,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
5,A,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
6,S,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
7,1,0.0,0,0,1,1,0,0,0,0,0,0,1,8,4,48,0,1
8,C,1.0,1,0,1,0,0,0,0,0,0,0,0,8,3,48,0,1
9,O,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
10,D,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
11,E,1.0,1,0,1,0,0,0,0,0,0,0,0,8,1,48,0,1
12,Ars,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,300,18,0,0
13,Semeiotica,0.1,1,0,10,0,0,0,0,0,0,0,0,6,2,18,0,0
14,Volume,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,300,15,0,0
15,21,0.0,0,0,2,2,0,0,0,0,0,0,1,6,1,15,0,0
16,(1998),0.0,0,0,6,4,0,0,0,0,0,0,0,6,1,15,0,0
17,.,0.0,0,0,1,0,0,0,0,0,0,0,0,11,1,15,0,0
18,No.,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,1,15,0,0
19,3-4,0.0,0,0,3,2,0,0,0,0,0,0,1,6,1,15,0,0
20,Gunter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,300,17,0,0
21,Narr,0.25,1,0,4,0,0,0,0,0,0,0,0,6,1,17,0,0
22,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,1,17,0,0
23,Tübingen,0.125,1,0,8,0,0,0,0,0,0,0,0,6,1,17,0,0
24,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,76,106,0,1
25,Haaren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,3,106,0,1
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,13,2,106,0,1
27,Nägeln,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,2,106,0,1
28,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,75,129,0,0
29,impliziten,0.0,0,0,10,0,0,0,0,0,0,0,0,10,3,129,0,0
30,Anthropologie,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,1,129,0,0
31,von,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,129,0,0
32,Charles,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,129,0,0
33,Sanders,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,2,129,0,0
34,Peirce,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,1,129,0,0
35,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,75,165,0,0
36,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,165,0,0
